ACCE_ABSORB_COST	Kombinationskosten: %d
GUILD_CHANGEMASTER_TEXT1	Neuer Leader wird: %s
GUILD_CHANGEMASTER_TEXT2	Möchtest du einen neuen Gildenleader bestimmen?
GUILD_CHANGEMASTER_TEXT3	Bist du sicher, dass du die Position
GUILD_CHANGEMASTER_TEXT4	des Gildenleaders übergeben möchtest?
GUILD_COMMENT	Schreiben
GUILD_CONTENTS_ONGOING	Schlacht im Gange
GUILD_CREATE_ERROR_INSULT_NAME	Gildenname ist nicht zulässig.
GUILD_DEFAULT_GRADE	Gildenmitglieder
GUILD_DELETE	Löschen
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	Verwendete Erfahrung
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Mindestanzahl: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Es gibt keine Erfahrungspunkte, die verwendet werden können.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Nicht genug Erfahrungspunkte.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Nicht genügend Yang.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Erforderliche Anzahl
GUILD_DEPOSIT	Hinterlegen
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Du kannst die Gilde jetzt nicht verlassen, da du dich im Kampf befindest.
GUILD_DISBAND_SUCCESS_MESSAGE	Die Gilde wurde aufgelöst.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Du besitzt nicht genügend hohe Spendenscheine.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Dein Inventar ist voll. Du kannst nicht spenden.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Du musst mindestens Level 30 erreicht haben, um spenden zu können.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Du besitzt nicht genügend mittlere Spendenscheine.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Nicht genügend Yang.
GUILD_DONATE_FAIL_TIME	Du kannst 24 Stunden, nachdem du der Gilde beigetreten bist, nicht spenden.
GUILD_DONATE_QUESTION_HIGH	Möchtest du eine hohe Spende machen?
GUILD_DONATE_QUESTION_MIDDLE	Möchtest du eine mittlere Spende machen?
GUILD_DONATE_QUESTION_NORMAL	Möchtest du eine kleine Spende machen?
GUILD_DO_YOU_HEAL_GSP	Möchtest du für %d Yang %d Drachengeist wiederherstellen?
GUILD_DO_YOU_JOIN	 hat dich eingeladen. Der Gilde beitreten?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Gesamt-Rangliste: Meleys Hort
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Gesamt-Rangliste: Balathors Krypta
GUILD_DRAGONLAIR_PARTY_ALL	Gesamtbestenliste
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	ab 11. Platz: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Hilfe
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1. Platz: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4. - 10. Platz: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2. - 3. Platz: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Mitglieder
GUILD_DRAGONLAIR_PARTY_NOW	Wochenbestenliste
GUILD_DRAGONLAIR_PARTY_PAST	Vorherige Bestenliste
GUILD_DRAGONLAIR_PARTY_TIME	Zeit
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Belohnung
GUILD_DRAGONLAIR_RANKING_FAIL	GESCHEITERT
GUILD_DRAGONLAIR_RANKING_NONE	NEU
GUILD_DRAGONLAIR_RANKING_SUCCESS	GESCHAFFT
GUILD_DRAGONLAIR_SECOND	Sek.
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Aktuelle Rangliste: Meleys Hort
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Aktuelle Rangliste: Balathors Krypta
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Du hast dich für Balathors Krypta angemeldet. Sprich mit Drachenwächter Dolnarr, um einzutreten. Danach hast du 10 Minuten, um den Kampf zu starten.
GUILD_DRAGON_LAIR_DUNGEON_START	Der Kampf um Balathors Krypta hat begonnen. Die maximale Aufenthaltsdauer beträgt eine Stunde.
GUILD_EMPTY_AREA	Leeres Land
GUILD_ENEMY_GUILD_NAME	Gildenname des Gegners
GUILD_FACILITY	Nebengebäude
GUILD_GEM	Edelstein
GUILD_HEADQUARTER	Hauptgebäude
GUILD_HEAL_GSP	Drachengeist aufladen
GUILD_INFO_ENEMY_GUILD_EMPTY	Keine
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	Das Gildenland befindet sich in %s an den Koordinaten %d, %d.
GUILD_LAND_TEXT	Gildenland
GUILD_MARK_NOT_ENOUGH_LEVEL	Mindestens Level 3 erforderlich
GUILD_MARK_UPLOAD_NOTICE	Bitte warte kurz, damit du Gildenlogos registrieren kannst.
GUILD_MEMBEROUT_AUTH	Du kannst keine Mitglieder entfernen.
GUILD_MEMBEROUT_NOMAL	Möchtest du dieses Mitglied entfernen?
GUILD_MEMBER_JOB	Klasse
GUILD_MEMBER_KNIGHT	Kämpfer
GUILD_MEMBER_LEVEL	Level
GUILD_MEMBER_NAME	Mitglied
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Gespendete EXP
GUILD_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_OPEN_NON_NPC_GUILD_SHOP	Ab Gildenlevel 21 verfügbar.
GUILD_NAME	Gildenname
GUILD_NOT_ENOUGH_MATERIAL	Nicht genug Baumaterial für dieses Gebäude.
GUILD_NOT_ENOUGH_MONEY	Nicht genug Yang für dieses Gebäude.
GUILD_NO_NOTICE_PERMISSION	Du bist nicht berechtigt, eine Ankündigung zu machen.
GUILD_OBJECT	Objekte
GUILD_OBJECT_POSSIBLE_NEWWORLD	Dieses Gebäude ist nur auf dem Kontinent Yohara verfügbar.
GUILD_OFFER_EXP	Erfahrung investieren
GUILD_RED_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Ranglisten-Belohnungen:\n1. Platz: Titel "Flammender Bezwinger" und Magmadrache (5 Tage)\n2. Platz: Magmadrache (3 Tage)\n3. Platz: Magmadrache (1 Tag)
GUILD_SELECT_ONE	Wähle ein Gildenmitglied.
GUILD_SHORT_EXP	Nicht genug Erfahrungspunkte.
GUILD_SITE_AUCTION_END_TIME	Landversteigerung: %02d/%02d (Monat/Tag) um %02d:%02d Uhr
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Landversteigerung: N/A
GUILD_SITE_AUCTION_INFO	Angebotenes Land: %s / %d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Angebotenes Land: N/A
GUILD_SITE_AUCTION_MAP_INFO	Datum (Monat/Tag): %02d/%02d; Uhrzeit: %02d:%02d Uhr
GUILD_SITE_AUCTION_STATE_NONE	Alle Gebote wurden abgegeben.
GUILD_SITE_AUCTION_STATE_REGIST	In %s wird das Land %s,%s versteigert. Nur Gildenleader können sich zur Landversteigerung anmelden.
GUILD_SITE_AUCTION_STATE_RUN	Die Landversteigerung endet am %02d/%02d (Monat/Tag) um %02d:%02d Uhr.
GUILD_SITE_AUCTION_STATE_WAIT	Am %02d/%02d (Monat/Tag) um %02d:%02d Uhr startet die Landversteigerung für %s, Land %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	Automatische Landaufgabe:  %s
GUILD_SITE_TAX_INFO	Das Gildenland wird in %s aufgegeben. Alle Items im Gildenlager werden gelöscht.
GUILD_SPECIAL_BUILDING_BUFF_GET_BUFF_BUTTON_TOOLTIP	Buff erhalten
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_SPECIAL_TICKET	Du hast nicht genug Spezial-Bautickets.
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_YANG_TO_REROLL	Du besitzt nicht genügend Yang.
GUILD_SPECIAL_BUILDING_BUFF_QUESTION_GET_BUFF	Möchtest du die Buffs erhalten? Bei gleichen Effekten wird nur der höhere Wert angewendet.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_BUTTON_TOOLTIP	Du kannst für die entsprechenden Kosten die aktuelle Buff-Liste gegen eine neue austauschen.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_RESULT	Die Buff-Liste wurde ausgetauscht.
GUILD_SPECIAL_BUILDING_SUMMON_REROLL_RESULT	Die Beschwörungsliste wurde ausgetauscht.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_SPECIAL_TICKET	Du hast nicht genug Spezial-Bautickets.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_YANG_TO_REROLL	Du besitzt nicht genügend Yang.
GUILD_SUMMON_DUNGEON_QUESTION_SUMMON	Möchtest du Monster beschwören?
GUILD_SUMMON_DUNGEON_REROLL_BUTTON_TOOLTIP	Du kannst für die entsprechenden Kosten die aktuelle Beschwörungsliste gegen eine neue austauschen.
GUILD_SUMMON_DUNGEON_SUMMON_BUTTON_TOOLTIP	Beschwören
GUILD_TILE_BASEINFO	Landinformationen
GUILD_TILE_BOARD	Gildennotizen
GUILD_TILE_GRADE	Rechteverwaltung
GUILD_TILE_GUILD_BATTLE	Gildenschlacht
GUILD_TILE_GUILD_CONTENTS_LIST	Gildenschlacht
GUILD_TILE_INFO	Gildeninformationen
GUILD_TILE_MEMBER	Mitglieder
GUILD_TILE_SKILL	Gildenfertigkeiten
GUILD_USE_MASTER_ONLY	Nur der Gildenleiter hat dieses Recht.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Gildenkrieg-Gelände
GUILD_WAR2	Gildenkrieg-Gelände
GUILD_WAR3	Gildenkrieg-Gelände
GUILD_WAR4	Gildenkrieg-Gelände
GUILD_WAR_GAINSCORE_FIFTY	50 Punkte
GUILD_WAR_GAINSCORE_HUNDRED	100 Punkte
GUILD_WAR_GAINSCORE_THIRTY	30 Punkte
GUILD_WAR_GAMETIME_SIXTY	60 Minuten
GUILD_WAR_GAMETIME_TEN	10 Minuten
GUILD_WAR_GAMETIME_THIRTY	30 Minuten
GUILD_WAR_LIMIT_30MIN	Zeit: 30 Minuten
GUILD_WAR_REWARD_POTION	Belohnung: Sieger erhält Tränke
GUILD_WAR_SELECT_WAR	Kampfart auswählen
GUILD_WAR_TYPE_DEFENSE	Schildkampf
GUILD_WAR_TYPE_DIE	Arenakampf
GUILD_WAR_TYPE_FLAG	Flaggenkampf
GUILD_WAR_TYPE_NORMAL	Feldschlacht
GUILD_WAR_TYPE_TIGER	Vernichtungskampf
GUILD_WAR_TYPE_TIME	Zeitangriff
GUILD_WAR_USE_BATTLE_MAP	Ort: Gildenkriegsarena
GUILD_WAR_USE_NORMAL_MAP	Ort: Normale Karte
GUILD_WAR_WIN_CHECK_SCORE	Die Gilde mit den meisten Siegen gewinnt den Krieg.
GUILD_WAR_WIN_FIVE	Fünf Runden
GUILD_WAR_WIN_ONE	Eine Runde
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Erobere die Flagge des Gegners
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	und bringe sie zu deiner Basis.
GUILD_WAR_WIN_THREE	Drei Runden
GUILD_WAR_WIN_WIPE_OUT_GUILD	Besiege alle Gegner, um zu gewinnen.
GUILD_WHITE_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Ranglisten-Belohnungen:\n1. Platz: Titel "Eiskalter Richter" und Balathors Eisschwinge (5 Tage)\n2. Platz: Balathors Eisschwinge (3 Tage)\n3. Platz: Balathors Eisschwinge (1 Tag)
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	Die Effekte sind bereits aktiv.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	Das kannst du nur in Balathors Krypta verwenden.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	Du musst das feurige Drachenei in die andere Richtung bewegen.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	Die Hwacha ist bereit, abgefeuert zu werden!
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	Konzentriere dich auf das gefrorene Drachenei, bevor es in %d Sekunden verschwindet.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Du hast erfolgreich die Eiseskälte abgewehrt.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	Balathors Brüllen erschüttert die Krypta.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	Balathors Drachenei ist nicht in seiner Nähe - er hält sich nicht länger zurück!
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Balathors Dracheneier sind wieder in seiner Nähe. Er wird sich hüten, seine ganze Macht zu entfesseln.
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Du hast es nicht geschafft, Balathors Krypta erfolgreich abzuschließen. Du wirst in 5 Minuten nach draußen teleportiert.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	Du wirst in 3 Minuten nach draußen teleportiert. Du kannst mit Drachenwächter Dolnarr sprechen, um den Dungeon sofort zu verlassen.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Du kannst keine weiteren Pfeile laden.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	Balathors Siegel wurden erheblich geschwächt, weil ein Drachenei zerstört wurde.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	Der Tod eines Helden hat Balathors Siegel geschwächt.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	Balathors Siegel wurden geschwächt, weil jemand eingefroren wurde.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Zerstöre uralte Eiskristalle, um an flammende Pfeile zu gelangen.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Zerstöre schnell das gefrorene Drachenei!
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	Nach 10 Sekunden wird Balathors Drachenei erscheinen und ein gezielter Angriff kann durchgeführt werden.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	Balathor flieht und lässt seinen Schatz zurück.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	Für den nächsten gezielten Angriff wird mehr Schaden nötig sein.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Eines von Balathors Dracheneiern beschwört magische Eiseskälte herauf! Führe einen gezielten Angriff durch, um es daran zu hindern.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Du hast deinen Versuch, Balathors Krypta zu meistern, aufgegeben. Du wirst in 1 Minute nach draußen teleportiert.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	Die Hwacha ist zur Zeit mit %d flammenden Pfeilen geladen.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Verbleibende Zeit: %d
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STAGE_REMAIN_TIME	Du wirst in %d Minuten nach draußen teleportiert. Du kannst mit Drachenwächter Dolnarr sprechen, um den Dungeon sofort zu verlassen.
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STATGE	Du kannst dir bei Balathors Schatz deine Belohnung abholen. Du wirst in 5 Minuten nach draußen teleportiert.
GUILD_WHITE_DRAGON_LAIR_NOTICE_SPAWNEED_BROKEN_EGG	Ein feuriges Drachenei ist erschienen.
GUILD_WHITE_DRAGON_LAIR_NOT_ENOUGH_GUILD_SP	Du besitzt nicht genug Drachenmacht.
GUILD_WHITE_DRAGON_LAIR_PROTECTED_EGGS	Zerstöre die Eier, um Schaden zuzufügen!
GUILD_WHITE_DRAGON_LAIR_PUT_EGGS_BACK_IN_ORIGINAL_PLACE	Balathors Drachenei taucht an seinem Ursprungsort wieder auf.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON	Die Hwacha kann nicht geladen werden, bevor sie nicht repariert wurde.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON_SUCCESS	Die Hwacha ist nun vollständig repariert.
GUILD_WHITE_DRAGON_LAIR_RUN_AWAY_TO_BREATH	Balathor hat gesehen, wie ein Drachenei zerstört wurde. Weiche seinem Eisodem aus!
GUILD_WHITE_DRAGON_LAIR_UI_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_1	Verbleibende
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_2	Chancen: %d
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_TOOLTIP	Wenn %d feurige Dracheneier zerstört werden, ist der Dungeon gescheitert.
GUILD_WHITE_DRAGON_LAIR_UI_FLYING_FLMAE_BREATH_TOOLTIP	Wenn die Siegel zu 100 %% versagen, wird Balathor seinen tödlichen Blick auf euch richten. (Momentane Siegel-Schwächung: %d %%)
GUILD_WHITE_DRAGON_LAIR_UI_HIDDEN_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_NAME_TOOLTIP	Hwacha
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_TOOLTIP	Sobald 8 Pfeile geladen sind, kann Balathors Schuppenpanzer zerstört werden. Flammende Pfeile erhältst du aus uralten Eiskristallen. Momentan geladen: %d
GUILD_WITHDRAW	Rückzug
GUILD_YOU_DO_NOT_JOIN	Du gehörst keiner Gilde an.
HACK_USER_MESSAGE	Diese Funktion ist nicht verfügbar, da ein Hack-Programm gefunden wurde.
HORSE_HEALTH0	Tot
HORSE_HEALTH1	Verhungernd
HORSE_HEALTH2	Hungrig
HORSE_HEALTH3	Voll
HORSE_LEVEL1	Normales Pferd
HORSE_LEVEL2	Kampfpferd
HORSE_LEVEL3	Militärpferd
HORSE_LEVEL4	Mächtiges Kriegspferd
HOUR	Std
HOW_MANY_ITEM_DO_YOU_DROP1	Möchtest du %s fallen lassen?
HOW_MANY_ITEM_DO_YOU_DROP2	Möchtest du %s %d fallen lassen?
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Du hast %d Eiskugeln in das neue Event-Menü transferiert.
ICECREAM_EVENT_GET_SCOOP	Du hast eine Eiskugel erhalten.
ICECREAM_EVENT_SCOOP_MAX_COUNT	Du kannst nicht noch mehr Eiskugeln erhalten.
INPUT_MATRIX_CARD_NUMBER	Matrix-Kartennr. eingeben
INPUT_MATRIX_CARD_TITLE	Matrix-Karte
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Lösch-Code aus der Accountverwaltung eingeben.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Charakter löschen
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Schriftrolle kann nicht zusammengeführt werden.
INVENTORY_REALLY_USE_ITEM	Item auf diesen Gegenstand anwenden?
INVENTORY_REALLY_USE_ITEM2	Möchtest du diesen Gegenstand wirklich benutzen?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Möchtest du dein Pet wirklich in die Transportbox packen?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Möchtest du eine Transportbox öffnen?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Möchtest du %s an %s verfüttern?
IS_NOT_PET_CHANGE_ITEM	Das ist nicht das Item Pet verzaubern.
IS_NOT_PET_ITEM	Das ist kein Pet.
ITEM_CANNOT_REFINE	Dieser Gegenstand kann nicht aufgewertet werden.
ITEM_TOOLTIP_DESC_GEM_BAG_DEFAULT	Nach dem Benutzen kannst du bis zu 9.999 Gaya hineinfüllen. | Sie verschwinden nach 30 Tagen.\nDer Gaya-Beutel ist handelbar.
ITEM_TOOLTIP_DESC_GEM_BAG_HAVE_GEM	Gaya-Beutel (%d Gaya, handelbar). \nWenn du den Beutel öffnest, wirst du %d Gaya erhalten.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD	Als Belohnung dafür, dass du für die Siegermannschaft gejubelt hast, erhältst du eine Gaya-Sporttasche.\nSie ist nicht handelbar.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD_HAVE_GEM	Gaya-Sporttasche (%d Gaya, nicht handelbar). \nWenn du die Sporttasche öffnest, wirst du %d Gaya erhalten.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Keine
JOB_ASSASSIN1	Nahninja
JOB_ASSASSIN2	Fernninja
JOB_SHAMAN	Schamane
JOB_SHAMAN0	Keine
JOB_SHAMAN1	Drachenschamane
JOB_SHAMAN2	Heilschamane
JOB_SURA	Sura
JOB_SURA0	Keine
JOB_SURA1	Waffensura
JOB_SURA2	Magiesura
JOB_WARRIOR	Krieger
JOB_WARRIOR0	Keine
JOB_WARRIOR1	Körperkrieger
JOB_WARRIOR2	Mentalkrieger
JOB_WOLFMAN	Lykaner
JOB_WOLFMAN0	Amateurlykaner
JOB_WOLFMAN1	Instinkt
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Schließen ohne speichern?
KEYCHANGE_IMPOSSIBLE_CHANGE	[STRG], [ALT], [UMSCHALT] sind hier nicht erlaubt!
KEYCHANGE_SAVE_EXIT	Speichern und schließen?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	STRG + 0
KEY_0_LSHIFT	UMSCHALT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	STRG + 1
KEY_1_LSHIFT	UMSCHALT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	STRG + 2
KEY_2_LSHIFT	UMSCHALT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	STRG + 3
KEY_3_LSHIFT	UMSCHALT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	STRG + 4
KEY_4_LSHIFT	UMSCHALT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	STRG + 5
KEY_5_LSHIFT	UMSCHALT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	STRG + 6
KEY_6_LSHIFT	UMSCHALT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	STRG + 7
KEY_7_LSHIFT	UMSCHALT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	STRG + 8
KEY_8_LSHIFT	UMSCHALT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	STRG + 9
KEY_9_LSHIFT	UMSCHALT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	STRG + A
KEY_A_LSHIFT	UMSCHALT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	STRG + B
KEY_B_LSHIFT	UMSCHALT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	STRG + ,
KEY_COMMA_LSHIFT	UMSCHALT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	STRG + C
KEY_C_LSHIFT	UMSCHALT + C
KEY_D	D
KEY_DOWN	NACH-UNTEN
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	STRG + D
KEY_D_LSHIFT	UMSCHALT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	STRG + E
KEY_E_LSHIFT	UMSCHALT + E
KEY_F	F
KEY_F1	F1
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	STRG + F1
KEY_F1_LSHIFT	UMSCHALT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	STRG + F2
KEY_F2_LSHIFT	UMSCHALT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	STRG + F3
KEY_F3_LSHIFT	UMSCHALT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	STRG + F4
KEY_F4_LSHIFT	UMSCHALT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	STRG + F5
KEY_F5_LSHIFT	UMSCHALT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	STRG + F6
KEY_F6_LSHIFT	UMSCHALT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	STRG + F7
KEY_F7_LSHIFT	UMSCHALT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	STRG + F8
KEY_F8_LSHIFT	UMSCHALT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	STRG + F9
KEY_F9_LSHIFT	UMSCHALT + F9
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	STRG + F10
KEY_F10_LSHIFT	UMSCHALT + F10
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	STRG + F
KEY_F_LSHIFT	UMSCHALT + F
KEY_G	G
KEY_GRAVE	^
KEY_GRAVE_LALT	ALT + ^
KEY_GRAVE_LCONTROL	STRG + ^
KEY_GRAVE_LSHIFT	UMSCHALT + ^
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	STRG + G
KEY_G_LSHIFT	UMSCHALT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	STRG + H
KEY_H_LSHIFT	UMSCHALT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	STRG + I
KEY_I_LSHIFT	UMSCHALT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	STRG + J
KEY_J_LSHIFT	UMSCHALT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	STRG + K
KEY_K_LSHIFT	UMSCHALT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	STRG
KEY_LEFT	NACH-LINKS
KEY_LSHIFT	UMSCHALT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	STRG + L
KEY_L_LSHIFT	UMSCHALT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	STRG + M
KEY_M_LSHIFT	UMSCHALT + M
KEY_N	N
KEY_NUMLOCK	NUM
KEY_NUMPAD0	NUM 0
KEY_NUMPAD1	NUM 1
KEY_NUMPAD2	NUM 2
KEY_NUMPAD3	NUM 3
KEY_NUMPAD4	NUM 4
KEY_NUMPAD5	NUM 5
KEY_NUMPAD6	NUM 6
KEY_NUMPAD7	NUM 7
KEY_NUMPAD8	NUM 8
KEY_NUMPAD9	NUM 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	STRG + N
KEY_N_LSHIFT	UMSCHALT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	STRG + O
KEY_O_LSHIFT	UMSCHALT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	STRG + .
KEY_PERIOD_LSHIFT	UMSCHALT + .
KEY_PGDN	BILD-AB
