ACCE_ABSORB_COST	Êüóôïò óõíäõáóìïı: %d
EQUIPMENT_ADDITIONAL_PAGE_ACTIVE	ÅíåñãïğïéŞèçêå ç åğéğëİïí óåëßäá åîïğëéóìïı. Èá ôçí âñåéò óôï ğáñÜèõñï åîïğëéóìïı.
EQUIPMENT_ALREADY_USE_ITEM	Äåí ìğïñåß íá ÷ñçóéìïğïéçèåß îáíÜ.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE	Äåí ìğïñåßò íá áëëÜîåéò ôç óåëßäá åîïğëéóìïı üôáí áó÷ïëåßóáé ìå êÜôé Üëëï.
EQUIPMENT_CANNOT_ADDITIONAL_EQUIPMENT_PAGE_ITEM	Äåí ìğïñåßò íá áëëÜîåéò ôç óåëßäá åîïğëéóìïı üóï öïñÜò İíá áíôéêåßìåíï ğïõ äåí åğéôñİğåôáé.
EQUIPMENT_CHANGE_PAGE_COOLTIME_FAIL	Ğáñáêáëïıìå äïêßìáóå îáíÜ óå 1 ëåğôü.
EQUIPMENT_CHANGE_PAGE_SUCCESS	Ç óåëßäá åîïğëéóìïı Üëëáîå.
EQUIPMENT_TITLE_NAME	ĞáñÜèõñï åîïğëéóìïı
EXCHANGE_CANNOT_GIVE	Äåí ìğïñåßò íá êÜíåéò åìğüñéï ìå áõôü ôï áíôéêåßìåíï.
EXCHANGE_CANT_EDIT_MONEY	Äå ìğïñåßò íá áëëÜîåéò ôï ğïóü ôşñá.
EXCHANGE_FAILURE_EQUIP_ITEM	Äå ìğïñåßò íá áíôáëëÜîåéò åîïğëéóìİíá Áíôéêåßìåíá.
EXCHANGE_MONEY	Ğïóü
EXCHANGE_TITLE	ÁíôáëëáãŞ ìå %s (%d)
EXINVEN_USE_ITEM_FAIL_FALL_SHORT	×ñåéÜæåóáé áêüìç %d ÅğåêôÜóåéò Êáôáëüãïõ.
EXINVEN_USE_ITEM_FAIL_FOURTH_PAGE_STAGE_MAX	Ï ÊáôÜëïãüò óïõ İ÷åé ğëİïí ôïí ìİãéóôï áñéèìü ÅğåêôÜóåùí.
EXINVEN_USE_ITEM_QUESTION	Èİëåéò íá ìåãåèıíåéò ôïí ÊáôÜëïãü óïõ ìå %d ÅğåêôÜóåéò Êáôáëüãïõ;
FAILED_WARP_MAP_CHECK	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò áõôü åäş.
FISHING_FAILURE	¸÷áóåò ôï Äüëùìá.
FISHING_NOTIFY1	Öáßíåôáé üôé ğéÜóôçêå óôï áãêßóôñé ôï åîŞò: %s.
FISHING_NOTIFY2	Öáßíåôáé üôé ğéÜóôçêå İíá %s.
FISHING_RENEWAL_CANNOT_EMOTION	Äåí ìğïñåßò íá åêöñÜóåéò óõíáéóèŞìáôá ôçí şñá ğïõ øáñåıåéò.
FISHING_RENEWAL_CANNOT_OPEN_1	Äåí ìğïñåßò íá ôï áíïßîåéò ôçí şñá ğïõ øáñåıåéò.
FISHING_RENEWAL_CANNOT_OPEN_2	Äåí ìğïñåßò íá ôï êÜíåéò áõôü ôçí şñá ğïõ øáñåıåéò.
FISHING_RENEWAL_QUESTION	¸íá øÜñé ôóéìğÜåé. Èİëåéò íá ôï ğéÜóåéò;
FISHING_RENEWAL_TIMEOUT	¢ñãçóåò. Ôï øÜñé îİöõãå.
FISHING_SUCCESS1	¸ğéáóåò %s!
FISHING_SUCCESS2	ØÜñåøåò %s!
FISHING_UNKNOWN	ÊÜôé ôóßìğçóå, áëëÜ äå ìğïñåßò íá äåéò ôé åßíáé.
FISHING_WRONG_PLACE	Äå ìğïñåßò íá øáñİøåéò åäş.
FLOWER_EVENT_ENVELOPE_MAX	Äåí ìğïñåßò íá ëÜâåéò Üëëïõò Óğüñïõò ëïõëïõäéşí.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM	Áğİêôçóåò ÂëáóôÜñéá ×ñõóÜíèåìïõ.
FLOWER_EVENT_GET_SHOOT_CHRYSANTHEMUM_COUNT	Áğİêôçóåò %d ÂëáóôÜñéá ×ñõóÜíèåìïõ.
FLOWER_EVENT_GET_SHOOT_DAFFODIL	Áğİêôçóåò ÂëáóôÜñéá ÍÜñêéóóïõ.
FLOWER_EVENT_GET_SHOOT_DAFFODIL_COUNT	Áğİêôçóåò %d ÂëáóôÜñéá ÍÜñêéóóïõ.
FLOWER_EVENT_GET_SHOOT_ENVELOPE	Áğİêôçóåò óğüñïõò ëïõëïõäéşí.
FLOWER_EVENT_GET_SHOOT_LILY	Áğİêôçóåò ÂëáóôÜñéá Êñßíïõ.
FLOWER_EVENT_GET_SHOOT_LILY_COUNT	Áğİêôçóåò %d ÂëáóôÜñéá Êñßíïõ.
FLOWER_EVENT_GET_SHOOT_MAY_BELL	Áğİêôçóåò ÂëáóôÜñéá Ìéãêİ.
FLOWER_EVENT_GET_SHOOT_MAY_BELL_COUNT	Áğİêôçóåò %d ÂëáóôÜñéá Ìéãêİ.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER	Áğİêôçóåò ÂëáóôÜñéá Çëßáíèïõ.
FLOWER_EVENT_GET_SHOOT_SUNFLOWER_COUNT	Áğİêôçóåò %d ÂëáóôÜñéá Çëßáíèïõ.
FLOWER_EVENT_ITEM_FULL_AND_NOT_USE	Äåí ìğïñåßò íá ôï áíôáëëÜîåéò áõôü, åğåéäŞ İ÷åéò Şäç ôï ìİãéóôï áñéèìü âëáóôáñéşí.
FLOWER_EVENT_NOT_ENOUGH_EVENTORY_SPACE	Äåí İ÷åéò áñêåôü ÷şñï óôïí ÊáôÜëïãü óïõ.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_COUNT	Äåí İ÷åéò ôïí óùóôü áñéèìü âëáóôáñéşí.
FLOWER_EVENT_NOT_ENOUGH_SHOOT_ENVELOPE	Äåí İ÷åéò áñêåôïıò Óğüñïõò ëïõëïõäéşí.
FLOWER_EVENT_USE_ITEM_TEXT1	Èİëåéò íá áíôéêáôáóôŞóåéò ôçí åíåñãïğïéçìİíç åğßäñáóç;
FLOWER_EVENT_USE_ITEM_TEXT2	Ç ğñïóğÜèåéá ìğïñåß íá áğïôı÷åé êáé ôï ëïõëïıäé èá ìáñáèåß.
FOOTBALL_EVENT_MESSAGE_BUTTON_COOLTIME	Ğáñáêáëïıìå, äïêßìáóå îáíÜ áñãüôåñá.
FOOTBALL_EVENT_MESSAGE_CANNOT_GET_FOOTBALL	Äåí ìğïñåßò íá ëÜâåéò ğåñéóóüôåñåò ìğÜëåò ğïäïóöáßñïõ.
FOOTBALL_EVENT_MESSAGE_GET_FOOTBALL	¸ëáâåò 1 ìğÜëá ğïäïóöáßñïõ.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_FOOTBALL	ÁíåğáñêŞò áñéèìüò ìğáëşí ğïäïóöáßñïõ.
FOOTBALL_EVENT_MESSAGE_NOT_ENOUGH_INVENTORY	Äåí õğÜñ÷åé áñêåôüò ÷şñïò óôïí êáôÜëïãü óïõ.
FOOTS_SOCKET_OPEN_FIRST	×ñçóéìïğïßçóå ôï Ìáıñï Áäáìáíôïôñığáíï, ãéá íá ğñïóèİóåéò èİóåéò ãéá Ëßèïõò Ğíåıìáôïò.
FORCE_EVENT_CANNOT_OPEN_UI	Ôï event «Ç÷ş åîïõóßáò» ïëïêëçñşèçêå.
FORCE_EVENT_CAN_USE_BUTTON	Ç Ç÷ş óïõ åßíáé áñêåôÜ äõíáôŞ, ãéá íá åíåñãïğïéçèåß!
FORCE_EVENT_EMPTY_NORMAL_FORCE_SLOT_TOOLTIP	Ìğïñåßò íá åğéëİîåéò ôçí Ç÷ş ÄıíáìŞò óïõ, ôñáâşíôáò ôçí áğü ôïí êáôÜëïãï.
FORCE_EVENT_EMPTY_SKILL_FORCE_SLOT_TOOLTIP	Ìğïñåßò íá åğéëİîåéò ôçí Ç÷ş ÉêáíüôçôÜò óïõ, ôñáâşíôáò ôçí áğü ôïí êáôÜëïãï.
FORCE_EVENT_END_NOTICE	Ôï event «Ç÷ş åîïõóßáò» ïëïêëçñşèçêå.
FORCE_EVENT_FORCE_CHANGE_BUFF	¸÷åéò Şäç åğéëİîåé ìéá Ç÷ş. Èİëåéò íá ôçí áëëÜîåéò;
FORCE_EVENT_FORCE_GAGUE_REMAIN_TIME	%d/%d ëåğôÜ
FORCE_EVENT_FORCE_GAUGE_REFINE_TOOLTIP	Ç Ç÷ş óïõ êåñäßæåé Äıíáìç.
FORCE_EVENT_FORCE_NOTICE_CAN_USE_FORCE_BUFF	Ôï áíôéêåßìåíï %s ìğïñåß íá åíåñãïğïéçèåß. Ñßîå ìéá ìáôéÜ óôï áíôßóôïé÷ï ìåíïı.
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_1	Èİëåéò íá åğéëİîåéò %s;
FORCE_EVENT_FORCE_REGISTER_TOOLTIP_2	Áí áëëÜîåéò ôçí åğéëåãìİíç ç÷ş, ï ÷ñüíïò ğáé÷íéäéïı ìçäåíßæåôáé.
FORCE_EVENT_FORCE_SLOT_REMAIN_TIME	×ñüíïò ğïõ áğïìİíåé:
FORCE_EVENT_INVALIED_SLOT_ITEM	Ğñİğåé íá åíåñãïğïéŞóåéò áõôŞí ôçí ç÷ş óå ìéá Üëëç èİóç.
FORCE_EVENT_NOTICE_REMAIN_PLAY_TIME	Ôï åğéëåãìİíï óïõ %s İ÷åé öôÜóåé óôï %d/%d.
FORCE_EVENT_NOT_ENOUGH_FORCE_CANNOT_USE_BUTTON	Ç Ç÷ş óïõ åßíáé áñêåôÜ äõíáôŞ, ãéá íá ÷ñçóéìïğïéçèåß.
FORCE_EVENT_NOT_ENOUGH_LEVEL	Ğñİğåé íá İ÷åéò öôÜóåé ôïõëÜ÷éóôïí óôï åğßğåäï 70, ãéá íá ğÜñåéò ìİñïò.
FORCE_EVENT_READY_TO_USE_FORCE_BUFF	Ôï áíôéêåßìåíï %s ìğïñåß íá åíåñãïğïéçèåß. Ñßîå ìéá ìáôéÜ óôï ìåíïı Ç÷ïıò.
FORCE_EVENT_REMOVE_REGIST_FORCE	Áöáßñåóç åğéëåãìİíçò Ç÷ïıò; ¸ôóé èá ìçäåíéóôåß ï ÷ñüíïò ğáé÷íéäéïı êáé èá êáôáóôñáöåß ç Ç÷ş.
FORCE_EVENT_START_NOTICE	Ôï event «Ç÷ş åîïõóßáò» îåêßíçóå.
FOR_FEMALE	Ãéá ãõíáßêåò
FOR_MALE	Ãéá Üíäñåò
FRAGMENT_COMB_COST	Êüóôïò óõíäõáóìïı: %s
FREEZING_BUTTON_COOLTIME	Ğáñáêáëïıìå äïêßìáóå îáíÜ áñãüôåñá.
GAME_CANNOT_MINING	Äå ìğïñåßò íá åîïñıîåéò ÌåôÜëëåõìá åíş éğğåıåéò.
GAME_CANNOT_PICK_ITEM	Äå ìğïñåßò íá óõëëİîåéò ôï Áíôéêåßìåíï áöïı äåí ôï êİñäéóåò.
GAME_GUILDWAR_NOW_JOIN	Èİëåéò íá ğÜñåéò ìİñïò óôïí ğüëåìï óõíôå÷íéşí;
GAME_INIT_ERROR_CURSOR	Ï êİñóïñáò äåí ìğïñåß íá åäñáéùèåß.
GAME_INIT_ERROR_DIRECTX	Ãéá íá ôñİîåé ôï ğáé÷íßäé ğñİğåé íá åßíáé åãêáôåóôçìİíï ôï DirectX 8.1. \nÅãêáôáóôŞóôå ôï DirectX 8.1 Ş ìåôáãåíİóôåñï.
GAME_INIT_ERROR_GRAPHICS_BAD_PERFORMANCE	Äå âñİèçêå êÜñôá ãñáöéêşí. \n¸ëåãîå áí ç VGA êÜñôá óïõ åßíáé åãêáôáóôçìİíç óùóôÜ.
GAME_INIT_ERROR_GRAPHICS_NOT_EXIST	Äå âñİèçêå êÜñôá ãñáöéêşí. \n¸ëåãîå áí İ÷åéò êÜñôá VGA.\nÅíáëëáêôéêÜ, ìğïñåßò íá åíåñãïğïéŞóåéò ôï hardware accelerator.\n(Èİóå ôï hardware accelerator óôï max \nControl Panel->Display->Settings->Advanced->Troubleshoot tab)
GAME_INIT_ERROR_GRAPHICS_NOT_SUPPORT_32BIT	Ç êÜñôá ãñáöéêşí ôïõ õğïëïãéóôŞ äåí õğïóôçñßæåé ëåéôïõñãßá ğáñáèıñïõ óôá 32bit. \n¢ëëáîå ôï óôá 16bit Ş ÷ñçóéìïğïßçóå ôçí ëåéôïõñãßá ğëŞñïõò ïèüíçò.
GAME_INIT_ERROR_ITEM_PROTO	Äåí õğÜñ÷ïõí Äåäïìİíá Áíôéêåéìİíùí.\nÅğáíåãêáôÜóôçóå ôï ğáé÷íßäé.
GAME_INIT_ERROR_MAIN_WINDOW	Ôï êõñßùò ğáñÜèõñï äåí ìğïñåß íá åìöáíéóôåß.
GAME_INIT_ERROR_MOB_PROTO	Äåí õğÜñ÷ïõí Äåäïìİíá ÔåñÜôùí.\nÅğáíåãêáôÜóôçóå ôï ğáé÷íßäé.
GAME_INIT_ERROR_NETWORK	Äå âñİèçêå óıíäåóç.\n¸ëåãîå ôç óıíäåóŞ óïõ.
GAME_OPTION_GAME	Ğáé÷íßäé
GAME_OPTION_KEYCHANGE_SAVE_OPTION	Åğßëåîİ ôï, ãéá íá áğïèçêåıóåéò ôç ÷ñŞóç ğëŞêôñùí ìüíï ãéá áõôüí ôïí ÷áñáêôŞñá.
GAME_OPTION_KEYSETTING	×ñŞóç ğëŞêôñùí
GAME_OPTION_KEYSETTING_CHECK_KEY	Äåí õğÜñ÷åé ğëİïí ÷ñŞóç ğëŞêôñïõ ãéá ìéá ëåéôïõñãßá.
GAME_OPTION_KEYSETTING_KEY_CHANGE_CHECK	Áõôü ôï ğëŞêôñï ÷ñçóéìïğïéåßôáé Şäç ãéá %s. Èİëåéò íá ôï áëëÜîåéò;
GAME_OPTION_KEYSETTING_KEY_INIT_NOTICE	Ôï %s ìçäåíßóôçêå. ÊÜíå íİá åğéëïãŞ.
GAME_OPTION_LOOTING	Ëåßá
GAME_OPTION_SYSTEM	Óıóôçìá
GAME_OPTION_SYSTEM_DROP_YANG_CHECK_TOOLTIP	¼ôáí åßíáé åğéëåãìİíç áõôŞ ç ñıèìéóç, ğñïâÜëëïíôáé ôá Yang, êáé üôáí ôçí áğåíåñãïğïéåßò, êñıâïíôáé.
GAME_OPTION_SYSTEM_STRUCTURE_TOOLTIP	Áğüêñõøç äéáêüóìçóçò
GAME_PICK_MONEY	¸ëáâåò %s Yang.
GAME_USE_MONEY	Îïäåıôçêáí %s Yang.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_CONVERTER	×ñçóéìïğïßçóåò óõíïëéêÜ %d Ìåôáôñïğåßò Gaya.
GEM_CONVERTER_MESSAGE_CONVERT_SUCCESS_GEM_STONE	Êáôáíáëşèçêáí %d ğïëıôéìïé ëßèïé.
GEM_CONVERTER_MESSAGE_GEM_MAX	Äéáèİôåéò Şäç ôï ìİãéóôï áñéèìü Gaya.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GEMSTONE	×ñåéÜæåóáé ôïõëÜ÷éóôïí %s ğïëıôéìïõò ëßèïõò.
GEM_CONVERTER_MESSAGE_NOT_ENOUGH_GOLD	Äåí İ÷åéò áñêåôÜ Yang.
GEM_CONVERTER_MESSAGE_USE_CONVERTER_QUESTION	Èİëåéò íá ÷ñçóéìïğïéŞóåéò ôïí Ìåôáôñïğİá Gaya;
GEM_SYSTEM_ADD_SLOT	Áğáéôïıìåíï áíôéêåßìåíï: %s.\nÈİëåéò íá ÷ñçóéìïğïéŞóåéò %d ôşñá, ãéá áíïßîåéò Üëëç ìéá èİóç;
GEM_SYSTEM_BUY_ITEM	Èİëåéò íá áãïñÜóåéò áõôü ôï áíôéêåßìåíï;
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Äåí İ÷åéò åğáñêŞ «ÅğáíáöïñÜ Åìğïñßïõ Gaya».
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Äåí İ÷åéò áñêåôÜ Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Äåí ìğïñïıí íá åğåêôáèïıí Üëëåò èİóåéò.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] ¢íïéîå ğñşôá ôï Åìğüñéï Gaya.
GEM_SYSTEM_PICK_GEM	Áğİêôçóåò %s Gaya.
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Åğéèõìåßò åğáíáöïñÜ;
GEM_USE_GEM	Îïäåıôçêáí %s Gaya.
GIVEUP_QUESTION	Èİëåéò óô' áëŞèåéá íá ôá ğáñáôŞóåéò;
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_FRUIT_BOX_EVENT_CLOSED	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò áõôü ôï áíôéêåßìåíï, åğåéäŞ ôï event İëçîå.
GOLDEN_LAND_CHAT_MESSAGE_CANNOT_USE_MINE_TOWER_SKILL_PROCESSING	Áõôü äåí ìğïñåß íá ÷ñçóéìïğïéçèåß, áí İ÷åé Şäç åíåñãïğïéçèåß İíáò Ğıñãïò Åêñçêôéêşí.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_CLEAR	ÂñŞêåò üëá ôá Ğåäßá ×ñõóşí Ìïıñùí! Èá áğïêôŞóåéò ôçí áíôáìïéâŞ óïõ ìİóù áëëçëïãñáößáò.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_FOUND	ÂñŞêåò İíá Ğåäßï ×ñõóşí Ìïıñùí!
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_GOLDEN_FRUIT_NOT_FOUND	Áõôü ôåëéêÜ äåí Şôáí Ğåäßï ×ñõóşí Ìïıñùí.
GOLDEN_LAND_CHAT_MESSAGE_FIND_CARD_NOT_ENOUGH_YELLOW_FRUIT	Äåí İ÷åéò áñêåôÜ Ğåäßá Ìïıñùí.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_GUARD_CREATED	ÅíåñãïğïéŞèçêå ç Ğñïóôáóßá ÅêñŞîåùí. Ğñïóôáôåıåóáé áğü ôïí åğüìåíï Ğıñãï Åêñçêôéêşí.
GOLDEN_LAND_CHAT_MESSAGE_MINE_TOWER_SKILL_GUARDED	Ç Ğñïóôáóßá ÅêñŞîåùí óå ğñïóôÜôåõóå êáé êáôáíáëşèçêå. Ïé Ğıñãïé Åêñçêôéêşí ğñïêáëïıí êáé ğÜëé æçìéÜ.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_BATTLE_STAGE_START	Èá ìåôáöåñèåßò óôï åğüìåíï åğßğåäï.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_DUNGEON_REMAIN_TIME_MIN	Ìğïñåßò íá ìåßíåéò óôç ×ñõóŞ Ãç Üëëá %d ëåğôÜ.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_END	Ç Åêóôñáôåßá Ğñùôáñ÷éêïı ôåëåßùóå.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_EVENT_START	Ç Åêóôñáôåßá Ğñùôáñ÷éêïı îåêßíçóå! Íßêçóå ôïí Öıëáêá Ğñùôáñ÷éêïı êáé ôáîßäåøå óôç ×ñõóŞ Ãç!
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_SHOP	Ìğïñåßò íá áãïñÜóåéò áíôéêåßìåíá óôïí ¸ìğïñï Êáñáâáíéïı.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_OASIS_STAGE_START	Èá ôçëåìåôáöåñèåßò óôçí ¼áóç.
GOLDEN_LAND_CHAT_MESSAGE_NOTICE_STONE_SPAWN_AFTER_10SEC	Ôá ÁãÜëìáôá Ğñùôáñ÷éêïı èá åìöáíéóôïıí óå 10 äåõôåñüëåğôá.
GOLDEN_LAND_CHAT_MESSAGE_NOT_ENOUGH_LEVEL	Äåí ìğïñåßò íá ÷ñçóéìïğïéŞóåéò áõôü ôï Áíôéêåßìåíï, åğåéäŞ ôï åğßğåäü óïõ åßíáé ğïëı ÷áìçëü.
GOLDEN_LAND_CHAT_MESSAGE_RESET_ALREADY_RESET	Ôï İ÷åéò Şäç ìçäåíßóåé áõôü.
GOLDEN_LAND_CHAT_MESSAGE_RESET_NOT_ENOUGH_ITEM	Äåí İ÷åéò Íİï îåêßíçìá Ğñùôáñ÷éêïı.
GOLDEN_LAND_CHAT_MESSAGE_RESET_SUCCESS	Ïé åßóïäïß óïõ êáé ôï ôáìğëü ğáé÷íéäéïı åğáíáöİñèçêáí óôçí áñ÷éêŞ êáôÜóôáóç.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_INVENTORY_SPACE	Äåí İ÷åéò áñêåôü ÷şñï óôïí ÊáôÜëïãü óïõ.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_NOT_ENOUGH_TREE_FRUIT	Äåí İ÷åéò áñêåôÜ ĞéêñÜ Ìïıñá.
GOLDEN_LAND_CHAT_MESSAGE_SHOP_YELLOW_FRUIT_EXCEED	Äåí ìğïñåßò íá áãïñÜóåéò Üëëá ×ñõóÜ Ìïıñá, åğåéäŞ İ÷åéò Şäç õğåñâåß ôïí ìİãéóôï áñéèìü.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED	ÁğïêôÜò %d ĞéêñÜ Ìïıñá.
GOLDEN_LAND_CHAT_MESSAGE_TREE_FRUIT_GAINED_WITH_POSSESS_INFO	ÁğïêôÜò %d ĞéêñÜ Ìïıñá. (¸÷åéò %d ĞéêñÜ Ìïıñá.)
GOLDEN_LAND_CHAT_MESSAGE_YELLOW_FRUIT_GAINED	ÁğïêôÜò %d ×ñõóÜ Ìïıñá.
GOLDEN_LAND_FIND_CARD_QUESTION_OPEN_CARD	Èİëåéò íá áğïêáëıøåéò İíá ğåäßï İíáíôé %d ×ñõóşí Ìïıñùí;
GOLDEN_LAND_FIND_CARD_QUESTION_RESET	Ìå ôç ÷ñŞóç áõôïı ìğïñåßò íá åğáíáöİñåéò ôéò õğüëïéğåò åéóüäïõò óïõ óôç ×ñõóŞ Ãç êáé ôï ôáìğëü ğáé÷íéäéïı ãéá ôçí ÁíáæŞôçóç ×ñõóşí Ìïıñùí. Èİëåéò íá óõíå÷ßóåéò;
GOLDEN_LAND_REMAIN_MINE_TOWER_KILL_COUNT	Õğüëïéğïé Ğıñãïé Åêñçêôéêşí: %d
GOLDEN_LAND_REMAIN_STONE_KILL_COUNT	Õğüëïéğá ÁãÜëìáôá Ğñùôáñ÷éêïı: %d
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_1	Èİëåéò íá öıãåéò áğü áõôü ôï ìİñïò; Äåí ìğïñåßò íá ìğåéò îáíÜ.
GREEDY_ROOM_DUNGEON_EXIT_DUNGEON_QUESTION_2	Äåí ğáñİëáâåò áêüìç ôçí áíôáìïéâŞ óïõ.\n Óßãïõñá èİëåéò íá öıãåéò áğü áõôü ôï ìİñïò; Äåí ìğïñåßò íá ìğåéò îáíÜ.
GREEDY_ROOM_DUNGEON_INFORMATION_BOARD_EXIT_DUNGEON	¸îïäïò
GUILDBANK_CLEARBANK	Ğñïóï÷Ş: Ç áğïèŞêç óõíôå÷íßáò ğñİğåé íá åßíáé Üäåéá!
GUILDBANK_DONT_MONEY_OUT	Äåí İ÷åéò Yang óôçí ôñÜğåæá óõíôå÷íßáò!
GUILDBANK_GOLD_IN	ÊáôÜèåóç
GUILDBANK_GOLD_OUT	ÁíÜëçøç
GUILDBANK_ITEM_IN	ÁğïèŞêåõóç
GUILDBANK_ITEM_OUT	ÁíÜëçøç áíôéêåéìİíïõ
GUILDBANK_MONEYIN	ÊáôÜèåóç Yang
GUILDBANK_MONEYOUT	ÁíÜëçøç Yang
GUILDBANK_NOTUSE	Äåí İ÷åéò ôá áğáñáßôçôá äéêáéşìáôá.
GUILDBANK_NOT_ENOUGH_MONEY	Äåí İ÷åéò ôüóá Yang ãéá êáôÜèåóç.
GUILDBANK_OVER_INCOME	¸÷åé óõìğëçñùèåß ôï üñéï ôïõ ëïãáñéáóìïı.
GUILDBANK_OVER_MONEY	ĞëŞñçò ëïãáñéáóìüò óõíôå÷íßáò
GUILDLAND_ABANDON	ÄéÜëõóç ãçò óõíôå÷íßáò
GUILDLAND_ABANDON_TEXT1	Èİëåéò íá ôï åãêáôáëåßøåéò ôç Ãç óõíôå÷íßáò;
GUILDLAND_ABANDON_TEXT2	Óßãïõñá èİëåéò íá åãêáôáëåßøåéò ôç Ãç óõíôå÷íßáò;
GUILDLAND_ABANDON_TEXT3	Ç áğïèŞêç óõíôå÷íßáò êé üëá ôá êôßñéá êáôåäáößóôçêáí.
GUILDLAND_ACCEPT	Íáé
GUILDLAND_DONTHAVE_LAND	Äåí İ÷åéò ãç óõíôå÷íßáò.
GUILDLAND_NOT	¼÷é
GUILDLIST_APPLICANT	Èİëåéò íá êÜíåéò áßôçóç;
GUILDMARK_UPLOADER_ERROR_12_HEIGHT	Ôï ıøïò äåí åßíáé 12 Pixel
GUILDMARK_UPLOADER_ERROR_16_WIDTH	Ôï ğëÜôïò äåí åßíáé 16 Pixel
GUILDMARK_UPLOADER_ERROR_64_WIDTH	Ôï ğëÜôïò äåí åßíáé 64 Pixel
GUILDMARK_UPLOADER_ERROR_128_HEIGHT	Ôï ıøïò äåí åßíáé 128 Pixel
GUILDMARK_UPLOADER_ERROR_FILE_FORMAT	Ôï ğáé÷íßäé äåí õğïóôçñßæåé áõôŞí ôçí åéêüíá.
GUILDMARK_UPLOADER_ERROR_PATH	Ìåôáêßíçóå ôá äåäïìİíá óôï öÜêåëï metin2/upload.
GUILDMARK_UPLOADER_ERROR_SELECT	Äåí åğéëİ÷èçêå åéêüíá.
GUILDWAR_ALL	ÌÜ÷åò (Ì)
GUILDWAR_CTF_TITLE	ÌÜ÷ç óçìáßáò
GUILDWAR_DRAW	Éóïğáëßåò (É)
GUILDWAR_GAINSCORE_FIFTY	50 ğüíôïé
GUILDWAR_GAINSCORE_HUNDRED	100 ğüíôïé
GUILDWAR_GAINSCORE_THIRTY	30 ğüíôïé
GUILDWAR_GAMETIME_SIXTY	60 ëåğôÜ
GUILDWAR_GAMETIME_TEN	10 ëåğôÜ
GUILDWAR_GAMETIME_THIRTY	30 ëåğôÜ
GUILDWAR_INPUT_OTHERGUILD	ÅéóáãùãŞ áíôßğáëçò óõíôå÷íßáò.
GUILDWAR_LADDER	Ğüíôïé êáôÜôáîçò
GUILDWAR_LIMIT_MEMBER_FIVE	ÅëÜ÷éóôïò áñéèìüò óõììåôå÷üíôùí: 5.
GUILDWAR_LOSE	¹ôôåò (Ç)
GUILDWAR_NORMAL_TITLE	ÌÜ÷ç ğåäßïõ
GUILDWAR_OVER_MEMBERCOUNT	Óõìğëçñşèçêå ôï üñéï ìåëşí.
GUILDWAR_QUESTION_LINE_1	Ç óõíôå÷íßá %s êŞñõîå ğüëåìï óôçí óõíôå÷íßá óïõ.
GUILDWAR_QUESTION_LINE_2	Äİ÷åóáé; (%s)
GUILDWAR_RANKING	Èİóç
GUILDWAR_RECODE_ALL	%d Ì, %d Í, %d Ç, %d É
GUILDWAR_SELECT_MEMBER_COUNT	ÅğéëïãŞ áñéèìïı ìåëşí
GUILDWAR_TYPE_DEFENSE	ÌÜ÷ç áóğßäùí
GUILDWAR_TYPE_TIGER	ÌÜ÷ç êáôáóôñïöŞò
GUILDWAR_TYPE_TIME	Åğßèåóç ÷ñüíïõ
GUILDWAR_UNKNOWN_TITLE	...
GUILDWAR_WARP_TITLE	ÌÜ÷ç áñİíáò
GUILDWAR_WIN	Íßêåò (Í)
GUILDWAR_WIN_FIVE	Ğİíôå ãıñïé
