ACCE_ABSORB_COST	Coûts de combi : %d
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Classement actuel : Repaire de Meley
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Classement actuel : Crypte de Balathor
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Vous vous êtes inscrit à la Crypte de Balathor. Adressez-vous à Dolnarr, le garde du dragon, pour entrer. Il vous reste alors 10 minutes pour engager le combat.
GUILD_DRAGON_LAIR_DUNGEON_START	La bataille pour la Crypte de Balathor a commencé. Vous pouvez y rester une heure au maximum.
GUILD_EMPTY_AREA	Territoire vide
GUILD_ENEMY_GUILD_NAME	Nom de Guilde des ennemis
GUILD_FACILITY	Bâtiment Externe
GUILD_GEM	Gemme
GUILD_HEADQUARTER	Bâtiment Principal
GUILD_HEAL_GSP	Restaurer l'Esprit du Dragon
GUILD_INFO_ENEMY_GUILD_EMPTY	Aucune
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	Le terrain de guilde se trouve à %s, aux coordonnées %d, %d.
GUILD_LAND_TEXT	Terrain de guilde
GUILD_MARK_NOT_ENOUGH_LEVEL	Niveau min. requis : 3
GUILD_MARK_UPLOAD_NOTICE	Veuillez patienter un instant afin d'enregistrer le logo de guilde.
GUILD_MEMBEROUT_AUTH	Vous ne pouvez pas éliminer de membres.
GUILD_MEMBEROUT_NOMAL	Souhaitez-vous supprimer ce membre ?
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Combattant
GUILD_MEMBER_LEVEL	Niveau
GUILD_MEMBER_NAME	Membre
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	Don d'EXP
GUILD_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_OPEN_NON_NPC_GUILD_SHOP	Disponible à partir du 21e niveau de guilde.
GUILD_NAME	Nom de Guilde
GUILD_NOT_ENOUGH_MATERIAL	Pas assez de ressources pour ce bâtiment.
GUILD_NOT_ENOUGH_MONEY	Pas assez de Yangs pour ce bâtiment.
GUILD_NO_NOTICE_PERMISSION	Vous n'avez pas les droits pour rédiger une annonce.
GUILD_OBJECT	Objets
GUILD_OBJECT_POSSIBLE_NEWWORLD	Ce bâtiment n'est disponible que sur le continent de Yohara.
GUILD_OFFER_EXP	Investir avec des XP
GUILD_RED_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Récompenses du classement :\n1re place : titre « Vainqueur flamboyant » et dragon magmatique (5 jours)\n2e place : dragon magmatique (3 jours)\n3e place : dragon magmatique (1 jour)
GUILD_SELECT_ONE	Choisissez un membre de la guilde.
GUILD_SHORT_EXP	Pas assez de points d'expérience.
GUILD_SITE_AUCTION_END_TIME	Vente aux enchères de terres : %02d/%02d (mois/jour) à %02dh%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Vente aux enchères des terres : s.o.
GUILD_SITE_AUCTION_INFO	Terres proposées : %s/%d, %d
GUILD_SITE_AUCTION_INFO_DEFAULT	Terres proposées : s.o.
GUILD_SITE_AUCTION_MAP_INFO	Date (mois/jour): %02d/%02d ; heure : %02dh%02d
GUILD_SITE_AUCTION_STATE_NONE	Toutes les offres ont été soumises.
GUILD_SITE_AUCTION_STATE_REGIST	Dans %s, l'enchère des terres %s, %s commencera. Seuls les chefs de guildes peuvent s'inscrire aux ventes aux enchères de terres.
GUILD_SITE_AUCTION_STATE_RUN	La vente aux enchères de terres termine le %02d/%02d (mois/jour) à %02dh%02d.
GUILD_SITE_AUCTION_STATE_WAIT	Au %02d/%02d (mois/jour) à %02dh%02d commence la vente aux enchères de terres pour %s, contrée %d, %d.
GUILD_SITE_AUTO_ABNDON_TIME	Adjudication automatique des terres : %s
GUILD_SITE_TAX_INFO	Le terrain de guilde est cédé dans %s. Tous les objets présents dans l'entrepôt de guilde seront supprimés.
GUILD_SPECIAL_BUILDING_BUFF_GET_BUFF_BUTTON_TOOLTIP	Obtenir le bonus
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_SPECIAL_TICKET	Vous n'avez pas suffisamment de tickets de construction spéciaux.
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_YANG_TO_REROLL	Vous n'avez pas assez de Yangs.
GUILD_SPECIAL_BUILDING_BUFF_QUESTION_GET_BUFF	Souhaitez-vous obtenir les bonus ? En cas d'effets identiques, seule la valeur la plus élevée s'applique.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_BUTTON_TOOLTIP	Vous pouvez échanger la liste de bonus actuelle contre une nouvelle liste, moyennant une certaine somme.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_RESULT	La liste de bonus a été échangée.
GUILD_SPECIAL_BUILDING_SUMMON_REROLL_RESULT	La liste d'invocations a été échangée.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_SPECIAL_TICKET	Vous n'avez pas suffisamment de tickets de construction spéciaux.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_YANG_TO_REROLL	Vous n'avez pas assez de Yangs.
GUILD_SUMMON_DUNGEON_QUESTION_SUMMON	Souhaitez-vous invoquer des monstres ?
GUILD_SUMMON_DUNGEON_REROLL_BUTTON_TOOLTIP	Vous pouvez échanger la liste d'invocations actuelle contre une nouvelle liste, moyennant une certaine somme.
GUILD_SUMMON_DUNGEON_SUMMON_BUTTON_TOOLTIP	Invoquer
GUILD_TILE_BASEINFO	Informations du terrain
GUILD_TILE_BOARD	Notes de guilde
GUILD_TILE_GRADE	Gestion des droits
GUILD_TILE_GUILD_BATTLE	Bataille entre guildes
GUILD_TILE_GUILD_CONTENTS_LIST	Bataille entre guildes
GUILD_TILE_INFO	Informations sur la Guilde
GUILD_TILE_MEMBER	Membres
GUILD_TILE_SKILL	Compétence de Guilde
GUILD_USE_MASTER_ONLY	Seul le chef de guilde possède ces droits.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Terrain de guerre de guildes
GUILD_WAR2	Terrain de guerre de guildes
GUILD_WAR3	Terrain de guerre de guildes
GUILD_WAR4	Terrain de guerre de guildes
GUILD_WAR_GAINSCORE_FIFTY	50 points
GUILD_WAR_GAINSCORE_HUNDRED	100 points
GUILD_WAR_GAINSCORE_THIRTY	30 points
GUILD_WAR_GAMETIME_SIXTY	60 minutes
GUILD_WAR_GAMETIME_TEN	10 minutes
GUILD_WAR_GAMETIME_THIRTY	30 minutes
GUILD_WAR_LIMIT_30MIN	Temps : 30 Minutes
GUILD_WAR_REWARD_POTION	Récompense : le vainqueur reçoit une potion/
GUILD_WAR_SELECT_WAR	Choisir le type de combat
GUILD_WAR_TYPE_DEFENSE	Combat de bouclier
GUILD_WAR_TYPE_DIE	Combat en arène
GUILD_WAR_TYPE_FLAG	Combat de drapeau
GUILD_WAR_TYPE_NORMAL	Champ de bataille
GUILD_WAR_TYPE_TIGER	Combat à mort
GUILD_WAR_TYPE_TIME	Attaque minutée
GUILD_WAR_USE_BATTLE_MAP	Lieu : Arène de guerre des guildes
GUILD_WAR_USE_NORMAL_MAP	Lieu : carte normale
GUILD_WAR_WIN_CHECK_SCORE	Le plus haut résultat gagne la guerre.
GUILD_WAR_WIN_FIVE	Cinq parties
GUILD_WAR_WIN_ONE	Une partie
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Capturez le drapeau de l'ennemi
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	et ramenez-le à votre base.
GUILD_WAR_WIN_THREE	Trois parties
GUILD_WAR_WIN_WIPE_OUT_GUILD	Battez tous les ennemis pour gagner
GUILD_WHITE_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Récompenses du classement :\n1re place : « Justicier glacial » et Ailes gelées de Balathor (5 jours)\n2e place : Ailes gelées de Balathor (3 jours)\n3e place : Ailes gelées de Balathor (1 jour)
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	Les effets sont déjà actifs.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	Vous pouvez uniquement utiliser ceci dans la Crypte de Balathor.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	Vous devez déplacer l'œuf de dragon ardent dans une autre direction.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	Le hwacha est chargé et prêt à tirer.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	Concentrez-vous sur l'œuf de dragon givré avant qu'il ne disparaisse, dans %d secondes.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Vous avez bien paré le froid glacial.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	Le rugissement de Balathor ébranle la crypte.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	L'œuf de Balathor n'est plus dans les parages et il ne retient donc plus ses coups !
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Les œufs de Balathor sont à nouveau proches de lui. Il va faire attention à ne pas déployer sa pleine puissance !
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Vous n'avez pas réussi à venir à bout de la Crypte de Balathor. Vous serez téléporté hors d'ici dans 5 minutes.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	Vous serez téléporté hors d'ici dans 3 minutes. Vous pouvez vous adresser à Dolnarr, le garde du dragon, pour quitter immédiatement le donjon.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Vous ne pouvez pas charger de flèche supplémentaire.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	La destruction d'un œuf de dragon a sensiblement affaibli les sceaux de Balathor.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	La mort d'un héros a affaibli les sceaux de Balathor.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	Les sceaux de Balathor sont affaiblis car quelqu'un est gelé.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Détruisez les cristaux de glace ancestraux pour obtenir des flèches puissantes.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Détruisez vite l'œuf de dragon givré !
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	L'œuf de Balathor va apparaitre dans 10 secondes et pourra faire l'objet d'une attaque ciblée.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	Balathor s'enfuit et laisse son trésor derrière lui.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	La prochaine attaque ciblée nécessitera des dégâts supplémentaires.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Un des œufs de Balathor invoque un froid glacial magique ! Lancez une attaque ciblée pour l'en empêcher.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Vous avez abandonné votre tentative de surmonter la Crypte de Balathor. Vous serez téléporté hors d'ici dans 1 minute.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	Le hwacha comprend actuellement %d flèches enflammées.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Temps restant : %d
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STAGE_REMAIN_TIME	Vous serez téléporté hors d'ici dans %d minutes. Vous pouvez vous adresser à Dolnarr, le garde du dragon, pour quitter immédiatement le donjon.
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STATGE	Vous pouvez récupérer votre récompense dans le trésor de Balathor. Vous serez téléporté hors d'ici dans 5 minutes.
GUILD_WHITE_DRAGON_LAIR_NOTICE_SPAWNEED_BROKEN_EGG	L'œuf de dragon ardent est apparu.
GUILD_WHITE_DRAGON_LAIR_NOT_ENOUGH_GUILD_SP	Vous n'avez pas assez de pouvoir du dragon.
GUILD_WHITE_DRAGON_LAIR_PROTECTED_EGGS	Détruisez les œufs pour infliger des dégâts !
GUILD_WHITE_DRAGON_LAIR_PUT_EGGS_BACK_IN_ORIGINAL_PLACE	L'œuf de dragon de Balathor réapparait à son emplacement d'origine.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON	Vous ne pouvez pas recharger le hwacha avant de l'avoir réparé.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON_SUCCESS	Le hwacha est intégralement réparé.
GUILD_WHITE_DRAGON_LAIR_RUN_AWAY_TO_BREATH	Balathor a remarqué la destruction d'un œuf de dragon. Esquivez son haleine glacée.
GUILD_WHITE_DRAGON_LAIR_UI_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_1	Restant
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_2	Probabilités : %d
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_TOOLTIP	Si %d œufs de dragon ardents sont détruits, le donjon se solde par un échec.
GUILD_WHITE_DRAGON_LAIR_UI_FLYING_FLMAE_BREATH_TOOLTIP	Quand les sceaux défaillent à 100 %%, Balathor lance sur vous son regard meurtrier. (Affaiblissement de sceaux actuel : %d %%)
GUILD_WHITE_DRAGON_LAIR_UI_HIDDEN_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_NAME_TOOLTIP	Hwacha
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_TOOLTIP	Une fois que vous avez chargé 8 flèches, vous pouvez détruire la carapace de Balathor. Vous obtenez des flèches enflammées dans les cristaux de glace ancestraux. Déjà chargées : %d
GUILD_WITHDRAW	Retrait
GUILD_YOU_DO_NOT_JOIN	Vous n'êtes membre d'aucune guilde.
HACK_USER_MESSAGE	Cette fonction n'est pas disponible, car un programme de hacking a été trouvé.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Affamé.
HORSE_HEALTH2	A faim
HORSE_HEALTH3	Nourri
HORSE_LEVEL1	Cheval normal
HORSE_LEVEL2	Cheval de combat
HORSE_LEVEL3	Cheval militaire
HORSE_LEVEL4	Destrier fort
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	Souhaitez-vous abandonner %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Souhaitez-vous abandonner  %s %d?
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Vous avez transféré %d orbes de glace dans le nouveau menu d'évènement.
ICECREAM_EVENT_GET_SCOOP	Vous avez reçu un orbe de glace.
ICECREAM_EVENT_SCOOP_MAX_COUNT	Vous ne pouvez pas obtenir d'orbe de glace supplémentaire.
INPUT_MATRIX_CARD_NUMBER	Entrez votre numéro de carte Matrix
INPUT_MATRIX_CARD_TITLE	Matrix Card
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Entrer le code d'effacement (voir dans options de compte).
INPUT_PRIVATE_CODE_DIALOG_TITLE	Supprimer le personnage
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Role of Return cannot be combined.
INVENTORY_REALLY_USE_ITEM	Voulez-vous utiliser cet objet sur cet objet ?
INVENTORY_REALLY_USE_ITEM2	Souhaitez-vous vraiment utiliser cet objet ?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Souhaitez-vous vraiment mettre votre familier dans le sac de transport ?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Souhaitez-vous ouvrir un sac de transport ?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Souhaitez-vous donner en pâture %s à %s ?
IS_NOT_PET_CHANGE_ITEM	Ce n'est pas l'objet d'enchantement de familier.
IS_NOT_PET_ITEM	Ce n'est pas un familier.
ITEM_CANNOT_REFINE	Cet objet ne peut pas être amélioré.
ITEM_TOOLTIP_DESC_GEM_BAG_DEFAULT	Après utilisation, vous pourrez y placer jusqu'à 9 999 Gayas. | Ils disparaissent après 30 jours.\nL'étui à Gaya est échangeable.
ITEM_TOOLTIP_DESC_GEM_BAG_HAVE_GEM	Étui à Gayas (%d Gayas, échangeable) \nSi vous ouvrez cet étui, vous recevrez %d Gayas.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD	Si vous avez encouragé l'équipe gagnante, vous recevrez en récompense les Gayas dans le sac de sport.\nIl n'est pas échangeable.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD_HAVE_GEM	Sac de sport à Gayas (%d Gayas, non échangeable) \nSi vous ouvrez ce sac de sport, vous recevrez %d Gayas.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Aucun
JOB_ASSASSIN1	Ninja Assassin
JOB_ASSASSIN2	Ninja Archer
JOB_SHAMAN	Chamane
JOB_SHAMAN0	Aucun
JOB_SHAMAN1	Chamane Dragon
JOB_SHAMAN2	Chamane Soin
JOB_SURA	Sura
JOB_SURA0	Aucun
JOB_SURA1	Sura Arme magique
JOB_SURA2	Sura Magie noire
JOB_WARRIOR	Guerrier
JOB_WARRIOR0	Aucun
JOB_WARRIOR1	Guerrier Corps à Corps
JOB_WARRIOR2	Guerrier Mental
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan débutant
JOB_WOLFMAN1	Instinct
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Fermer sans sauvegarder ?
KEYCHANGE_IMPOSSIBLE_CHANGE	Ici, l'utilisation des touches [Ctrl], [Alt] et [Maj] n'est pas autorisée !
KEYCHANGE_SAVE_EXIT	Sauvegarder et fermer ?
KEY_0	à
KEY_0_LALT	Alt + à
KEY_0_LCONTROL	Ctrl + à
KEY_0_LSHIFT	Maj + à
KEY_1	&
KEY_1_LALT	Alt + &
KEY_1_LCONTROL	Ctrl + &
KEY_1_LSHIFT	Maj + &
KEY_2	é
KEY_2_LALT	Alt + é
KEY_2_LCONTROL	Ctrl + é
KEY_2_LSHIFT	Maj + é
KEY_3	"
KEY_3_LALT	Alt + "
KEY_3_LCONTROL	Ctrl + "
KEY_3_LSHIFT	Maj + "
KEY_4	'
KEY_4_LALT	Alt + '
KEY_4_LCONTROL	Ctrl + '
KEY_4_LSHIFT	Maj + '
KEY_5	(
KEY_5_LALT	Alt + (
KEY_5_LCONTROL	Ctrl + (
KEY_5_LSHIFT	Maj + (
KEY_6	-
KEY_6_LALT	Alt + -
KEY_6_LCONTROL	Ctrl + -
KEY_6_LSHIFT	Maj + -
KEY_7	è
KEY_7_LALT	Alt + è
KEY_7_LCONTROL	Ctrl + è
KEY_7_LSHIFT	Maj + è
KEY_8	_
KEY_8_LALT	Alt + _
KEY_8_LCONTROL	Ctrl + _
KEY_8_LSHIFT	Maj + _
KEY_9	ç
KEY_9_LALT	Alt + ç
KEY_9_LCONTROL	Ctrl + ç
KEY_9_LSHIFT	Maj + ç
KEY_A	Q
KEY_ADD	$
KEY_A_LALT	Alt + Q
KEY_A_LCONTROL	Ctrl + Q
KEY_A_LSHIFT	Maj + Q
KEY_B	B
KEY_B_LALT	Alt + B
KEY_B_LCONTROL	Ctrl + B
KEY_B_LSHIFT	Maj + B
KEY_C	C
KEY_COMMA	;
KEY_COMMA_LALT	Alt + ;
KEY_COMMA_LCONTROL	Ctrl + ;
KEY_COMMA_LSHIFT	Maj + ;
KEY_C_LALT	Alt + C
KEY_C_LCONTROL	Ctrl + C
KEY_C_LSHIFT	Maj + C
KEY_D	D
KEY_DOWN	Flèche bas
KEY_D_LALT	Alt + D
KEY_D_LCONTROL	Ctrl + D
KEY_D_LSHIFT	Maj + D
KEY_E	E
KEY_E_LALT	Alt + E
KEY_E_LCONTROL	Ctrl + E
KEY_E_LSHIFT	Maj + E
KEY_F	F
KEY_F1	F1
KEY_F1_LALT	Alt + F1
KEY_F1_LCONTROL	Ctrl + F1
KEY_F1_LSHIFT	Maj + F1
KEY_F2	F2
KEY_F2_LALT	Alt + F2
KEY_F2_LCONTROL	Ctrl + F2
KEY_F2_LSHIFT	Maj + F2
KEY_F3	F3
KEY_F3_LALT	Alt + F3
KEY_F3_LCONTROL	Ctrl + F3
KEY_F3_LSHIFT	Maj + F3
KEY_F4	F4
KEY_F4_LALT	Alt + F4
KEY_F4_LCONTROL	Ctrl + F4
KEY_F4_LSHIFT	Maj + F4
KEY_F5	F5
KEY_F5_LALT	Alt + F5
KEY_F5_LCONTROL	Ctrl + F5
KEY_F5_LSHIFT	Maj + F5
KEY_F6	F6
KEY_F6_LALT	Alt + F6
KEY_F6_LCONTROL	Ctrl + F6
KEY_F6_LSHIFT	Maj + F6
KEY_F7	F7
KEY_F7_LALT	Alt + F7
KEY_F7_LCONTROL	Ctrl + F7
KEY_F7_LSHIFT	Maj + F7
KEY_F8	F8
KEY_F8_LALT	Alt + F8
KEY_F8_LCONTROL	Ctrl + F8
KEY_F8_LSHIFT	Maj + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	Ctrl + F9
KEY_F9_LSHIFT	Maj + F9
KEY_F10	F10
KEY_F10_LALT	Alt + F10
KEY_F10_LCONTROL	Ctrl + F10
KEY_F10_LSHIFT	Maj + F10
KEY_F_LALT	Alt + F
KEY_F_LCONTROL	Ctrl + F
KEY_F_LSHIFT	Maj + F
KEY_G	G
KEY_GRAVE	²
KEY_GRAVE_LALT	Alt + ²
KEY_GRAVE_LCONTROL	Ctrl + ²
KEY_GRAVE_LSHIFT	Maj + ²
KEY_G_LALT	Alt + G
KEY_G_LCONTROL	Ctrl + G
KEY_G_LSHIFT	Maj + G
KEY_H	H
KEY_H_LALT	Alt + H
KEY_H_LCONTROL	Ctrl + H
KEY_H_LSHIFT	Maj + H
KEY_I	I
KEY_I_LALT	Alt + I
KEY_I_LCONTROL	Ctrl + I
KEY_I_LSHIFT	Maj + I
KEY_J	J
KEY_J_LALT	Alt + J
KEY_J_LCONTROL	Ctrl + J
KEY_J_LSHIFT	Maj + J
KEY_K	K
KEY_K_LALT	Alt + K
KEY_K_LCONTROL	Ctrl + K
KEY_K_LSHIFT	Maj + K
KEY_L	L
KEY_LALT	Alt
KEY_LCONTROL	Ctrl
KEY_LEFT	Flèche gauche
KEY_LSHIFT	Maj
KEY_L_LALT	Alt + L
KEY_L_LCONTROL	Ctrl + L
KEY_L_LSHIFT	Maj + L
KEY_M	?
KEY_M_LALT	Alt + ?
KEY_M_LCONTROL	Ctrl + ?
KEY_M_LSHIFT	Maj + ?
KEY_N	N
KEY_NUMLOCK	Verr
KEY_NUMPAD0	Verr 0
KEY_NUMPAD1	Verr 1
KEY_NUMPAD2	Verr 2
KEY_NUMPAD3	Verr 3
KEY_NUMPAD4	Verr 4
KEY_NUMPAD5	Verr 5
KEY_NUMPAD6	Verr 6
KEY_NUMPAD7	Verr 7
KEY_NUMPAD8	Verr 8
KEY_NUMPAD9	Verr 9
KEY_N_LALT	Alt + N
KEY_N_LCONTROL	Ctrl + N
KEY_N_LSHIFT	Maj + N
KEY_O	O
KEY_O_LALT	Alt + O
KEY_O_LCONTROL	Ctrl + O
KEY_O_LSHIFT	Maj + O
KEY_P	P
KEY_PERIOD	:
KEY_PERIOD_LALT	Alt + :
KEY_PERIOD_LCONTROL	Ctrl + :
KEY_PERIOD_LSHIFT	Maj + :
KEY_PGDN	Pge Suiv.
KEY_PGUP	Pge Préc.
KEY_P_LALT	Alt + P
KEY_P_LCONTROL	Ctrl + P
KEY_P_LSHIFT	Maj + P
KEY_Q	A
KEY_Q_LALT	Alt + A
KEY_Q_LCONTROL	Ctrl + A
KEY_Q_LSHIFT	Maj + A
KEY_R	R
KEY_RIGHT	Flèche droite
KEY_R_LALT	Alt + R
KEY_R_LCONTROL	Ctrl + R
KEY_R_LSHIFT	Maj + R
KEY_S	S
KEY_SPACE	Espace
KEY_SUBTRACT	!
KEY_SYSRQ	Impr. Écran
KEY_S_LALT	Alt + S
KEY_S_LCONTROL	Ctrl + S
KEY_S_LSHIFT	Maj + S
KEY_T	T
KEY_TAB	Tab
KEY_T_LALT	Alt + T
KEY_T_LCONTROL	Ctrl + T
KEY_T_LSHIFT	Maj + T
KEY_U	U
KEY_UP	Flèche haut
KEY_U_LALT	Alt + U
KEY_U_LCONTROL	Ctrl + U
KEY_U_LSHIFT	Maj + U
KEY_V	V
KEY_V_LALT	Alt + V
KEY_V_LCONTROL	Ctrl + V
KEY_V_LSHIFT	Maj + V
KEY_W	Z
KEY_W_LALT	Alt + Z
KEY_W_LCONTROL	Ctrl + Z
KEY_W_LSHIFT	Maj + Z
KEY_X	X
KEY_X_LALT	Alt + X
KEY_X_LCONTROL	Ctrl + X
KEY_X_LSHIFT	Maj + X
KEY_Y	Y
KEY_Y_LALT	Alt + Y
KEY_Y_LCONTROL	Ctrl + Y
KEY_Y_LSHIFT	Maj + Y
KEY_Z	Z
KEY_Z_LALT	Alt + W
KEY_Z_LCONTROL	Ctrl + W
KEY_Z_LSHIFT	Maj + W
LEADER_NAME	Nom du chef
LEAVE_FROM_GUILD_SUCCESS_MESSAGE	Vous avez quitté la guilde.
LEFT_SEAT	[AFK]
LEFT_SEAT_IMPOSSIBLE_ACTION	Ce joueur se trouve en mode AFK.
LEFT_SEAT_LOGOUT	Vous avez été déconnecté car vous avez dépassé la durée de mode AFK que vous avez définie.
LEFT_SEAT_LOGOUT_WAIT_TIME_TOOLTIP	Quand votre personnage passe en mode AFK, il le reste jusqu'à écoulement de la durée que vous avez définie. Après quoi, vous êtes automatiquement déconnecté.
LEFT_SEAT_RELEASE_ASK	Vous êtes en mode AFK. Souhaitez-vous reprendre le jeu ?
LEFT_SEAT_STATE_OFF	Vous avez repris le jeu en mode actif.
LEFT_SEAT_STATE_ON	Vous êtes en mode AFK.
LEFT_SEAT_WAIT_TIME_TOOLTIP	Quand vous n'êtes plus actif, l'icône [AFK] s'affiche sous votre nom de personnage au terme du délai que vous avez défini.
LEFT_TIME	Temps restant
LEFT_TIME_LESS_THAN_1_MIN	moins de 1 min
LIMIT_LEVEL_GUILD	Niveau de guilde : %d
LOGIN_CONNECT_FAILURE	Erreur lors de la connection au serveur
LOGIN_CONNECT_SUCCESS	Connexion au serveur en cours.
LOGIN_CONNETING	Patientez SVP. Connexion au serveur en cours.
LOGIN_FAILURE_ALREAY	Votre compte est déjà connecté.
LOGIN_FAILURE_BACKEND_ERR	Une erreur s'est produite. Adressez-vous à l'assistance.
LOGIN_FAILURE_BE_SAME_KEY	Problème
LOGIN_FAILURE_BLOCK_ID	Ce compte est bloqué.
LOGIN_FAILURE_BLOCK_LOGIN	Serveur fermé : Veuillez choisir un autre serveur !
LOGIN_FAILURE_COUNTRY_ERR	Le code pays est incorrect.\nAdressez-vous à l'assistance.
LOGIN_FAILURE_INTEGRTING	Votre compte est en cours de transfert. \nRéessayez dans quelques minutes.
LOGIN_FAILURE_IOVATION_ERR	Merci d'activer l'authentification à double facteur pour entrer sur ce serveur.
LOGIN_FAILURE_NOBILL	Ce compte ne dispose d'aucun temps de jeu.
LOGIN_FAILURE_NOT_AVAIL	Ce compte n'est pas disponible.
LOGIN_FAILURE_NOT_EXIST_ID	Compte ou mot de passe incorrect
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Une vérification par e-mail s'impose.
LOGIN_FAILURE_REPAIR_ID	Des objets sont restaurés sur ce compte.
LOGIN_FAILURE_SAMELOGIN	Quelqu'un s'est connecté à votre compte.
LOGIN_FAILURE_SERVER_CLOSED	Serveur fermé : seuls les comptes qui ont été créés avant la fermeture peuvent accéder à ce serveur. Veuillez en choisir un autre.
LOGIN_FAILURE_SERVER_GRADE	Ceci est un serveur exclusif auquel ce compte n'a malheureusement pas accès.
