ACCE_ABSORB_COST	Costo combinazione: %d
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Quantità ricevuta
GUILD_CANNOT_HEAL_GSP_ANYMORE	L'energia dello spirito del drago è completamente rigenerata.
GUILD_CHANGEMASTER_TEXT1	Nuovo leader: %s
GUILD_CHANGEMASTER_TEXT2	Vuoi scegliere un nuovo leader per la gilda?
GUILD_CHANGEMASTER_TEXT3	Vuoi davvero cedere il ruolo
GUILD_CHANGEMASTER_TEXT4	di leader della gilda?
GUILD_COMMENT	Scrivi
GUILD_CONTENTS_ONGOING	Battaglia in corso
GUILD_CREATE_ERROR_INSULT_NAME	Nome della Gilda non consentito.
GUILD_DEFAULT_GRADE	Membro della Gilda
GUILD_DELETE	Cancella
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	Esperienza usata
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Quantità minima: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Non ci sono punti esperienza che possono essere utilizzati.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Non hai abbastanza punti esperienza.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Non hai abbastanza Yang.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Quantità necessaria
GUILD_DEPOSIT	Deposita
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Ora non puoi abbandonare la gilda perché sei nel pieno dello scontro.
GUILD_DISBAND_SUCCESS_MESSAGE	La gilda è stata smembrata.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Non hai abbastanza Buoni Donazione generosa.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Il tuo inventario è pieno. Non puoi fare donazioni.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Le donazioni possono essere effettuate a partire dal livello 30.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Non hai abbastanza Buoni Donazione media.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Non hai abbastanza Yang.
GUILD_DONATE_FAIL_TIME	Non è possibile effettuare donazioni durante le prime 24 ore di appartenenza alla gilda.
GUILD_DONATE_QUESTION_HIGH	Vuoi fare una Donazione generosa?
GUILD_DONATE_QUESTION_MIDDLE	Vuoi fare una Donazione media?
GUILD_DONATE_QUESTION_NORMAL	Vuoi fare una Donazione minima?
GUILD_DO_YOU_HEAL_GSP	Desideri spendere %d Yang per rigenerare %d unità di spirito del drago?
GUILD_DO_YOU_JOIN	 ti ha invitato. Desideri entrare nella Gilda?
GUILD_DRAGONLAIR_MIN	Min.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Classifica complessiva: Rifugio di Meley
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Classifica generale: Cripta di Balathor
GUILD_DRAGONLAIR_PARTY_ALL	Classifica generale
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	dall'11º posto: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Aiuto
GUILD_DRAGONLAIR_PARTY_LINE_ONE	1º posto: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	4° - 10º posto: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	2° - 3º posto: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Membri
GUILD_DRAGONLAIR_PARTY_NOW	Classifica settimanale
GUILD_DRAGONLAIR_PARTY_PAST	Classifica precedente
GUILD_DRAGONLAIR_PARTY_TIME	Tempo
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Ricompensa
GUILD_DRAGONLAIR_RANKING_FAIL	TENTATIVO FALLITO
GUILD_DRAGONLAIR_RANKING_NONE	NOVITÀ
GUILD_DRAGONLAIR_RANKING_SUCCESS	CE L'HAI FATTA!
GUILD_DRAGONLAIR_SECOND	Sec.
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Classifica attuale: Rifugio di Meley
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Classifica attuale: Cripta di Balathor
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Hai effettuato la registrazione per la Cripta di Balathor. Parla con Dolnarr, guardiano dei draghi, per accedere. Dopodiché dovrai avviarti al combattimento entro 10 minuti.
GUILD_DRAGON_LAIR_DUNGEON_START	La battaglia nella Cripta di Balathor è iniziata. Il tempo massimo di permanenza è pari a un'ora.
GUILD_EMPTY_AREA	Terra di nessuno
GUILD_ENEMY_GUILD_NAME	Nome della Gilda avversaria
GUILD_FACILITY	Edificio secondario
GUILD_GEM	Pietra preziosa
GUILD_HEADQUARTER	Edificio principale
GUILD_HEAL_GSP	Rigenera lo spirito del drago
GUILD_INFO_ENEMY_GUILD_EMPTY	Nessuno
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	Il territorio della gilda si trova a %s alle coordinate %d, %d.
GUILD_LAND_TEXT	Terreno della gilda
GUILD_MARK_NOT_ENOUGH_LEVEL	È richiesto minimo livello 3
GUILD_MARK_UPLOAD_NOTICE	Attendi per poter registrare i loghi della gilda.
GUILD_MEMBEROUT_AUTH	Non puoi espellere alcun componente dalla gilda.
GUILD_MEMBEROUT_NOMAL	Vuoi espellere questo componente dalla gilda?
GUILD_MEMBER_JOB	Classe
GUILD_MEMBER_KNIGHT	Guerriero
GUILD_MEMBER_LEVEL	Livello
GUILD_MEMBER_NAME	Membro
GUILD_MEMBER_RANK	Rango
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP donati
GUILD_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_OPEN_NON_NPC_GUILD_SHOP	Disponibile a partire dal livello gilda 21.
GUILD_NAME	Nome della Gilda
GUILD_NOT_ENOUGH_MATERIAL	Non possiedi abbastanza materiale per questo edificio.
GUILD_NOT_ENOUGH_MONEY	Non possiedi abbastanza Yang per questo edificio.
GUILD_NO_NOTICE_PERMISSION	Non sei autorizzato a fare un annuncio.
GUILD_OBJECT	Oggetti
GUILD_OBJECT_POSSIBLE_NEWWORLD	Questo edificio è disponibile solo nel continente Yohara.
GUILD_OFFER_EXP	Esperienza da investire
GUILD_RED_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Ricompense per la classifica:\n1° posto: titolo "Conquistatore fiammeggiante" e Drago di magma (5 giorni)\n2° posto: Drago di magma (3 giorni)\n3° posto: Drago di magma (1 giorno)
GUILD_SELECT_ONE	Scegli un componente della gilda.
GUILD_SHORT_EXP	Non hai abbastanza punti esperienza.
GUILD_SITE_AUCTION_END_TIME	Asta dei terreni: %02d/%02d (mese/giorno) alle ore %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Asta: N/D
GUILD_SITE_AUCTION_INFO	Terreno in offerta: %s/%d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Terreno in offerta: N/A
GUILD_SITE_AUCTION_MAP_INFO	Data (mese/giorno): %02d/%02d; ora: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Tutte le offerte sono state inoltrate.
GUILD_SITE_AUCTION_STATE_REGIST	Tra %s verrà messo all'asta il terreno %s, %s. Solo i leader della gilda possono richiedere l'iscrizione all'asta.
GUILD_SITE_AUCTION_STATE_RUN	La tua Asta dei terreni si concluderà il giorno %02d/%02d (mese/giorno) alle ore %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	Il giorno %02d/%02d (mese/giorno) alle ore %02d:%02d avrà inizio l'asta per %s, terreno %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	Cessione automatica del terreno: %s
GUILD_SITE_TAX_INFO	Il Terreno della gilda verrà ceduto tra %s. Tutti gli item nel Magazzino della Gilda verranno eliminati.
GUILD_SPECIAL_BUILDING_BUFF_GET_BUFF_BUTTON_TOOLTIP	Ottieni buff
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_SPECIAL_TICKET	Non hai abbastanza Biglietti speciale per la costruzione.
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_YANG_TO_REROLL	Non hai abbastanza Yang.
GUILD_SPECIAL_BUILDING_BUFF_QUESTION_GET_BUFF	Vuoi ricevere i buff? A parità di effetti, viene applicato solo il valore più alto.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_BUTTON_TOOLTIP	Puoi sostituire l'attuale lista dei buff con una nuova, a fronte del relativo costo.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_RESULT	La lista dei buff è stata aggiornata.
GUILD_SPECIAL_BUILDING_SUMMON_REROLL_RESULT	La lista delle evocazioni è stata aggiornata.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_SPECIAL_TICKET	Non hai abbastanza Biglietti speciale per la costruzione.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_YANG_TO_REROLL	Non hai abbastanza Yang.
GUILD_SUMMON_DUNGEON_QUESTION_SUMMON	Vuoi evocare dei mostri?
GUILD_SUMMON_DUNGEON_REROLL_BUTTON_TOOLTIP	Puoi sostituire l'attuale lista delle evocazioni con una nuova, a fronte del relativo costo.
GUILD_SUMMON_DUNGEON_SUMMON_BUTTON_TOOLTIP	Evoca
GUILD_TILE_BASEINFO	Informazioni terreno
GUILD_TILE_BOARD	Appunti della gilda
GUILD_TILE_GRADE	Amministra diritti
GUILD_TILE_GUILD_BATTLE	Scontro tra gilde
GUILD_TILE_GUILD_CONTENTS_LIST	Scontro tra gilde
GUILD_TILE_INFO	Informazioni della Gilda
GUILD_TILE_MEMBER	Membri
GUILD_TILE_SKILL	Abilità della Gilda
GUILD_USE_MASTER_ONLY	Solo il Capo della gilda è in possesso di tale diritto.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Area della Guerra tra Gilde
GUILD_WAR2	Area della Guerra tra Gilde
GUILD_WAR3	Area della Guerra tra Gilde
GUILD_WAR4	Area della Guerra tra Gilde
GUILD_WAR_GAINSCORE_FIFTY	50 punti
GUILD_WAR_GAINSCORE_HUNDRED	100 punti
GUILD_WAR_GAINSCORE_THIRTY	30 punti
GUILD_WAR_GAMETIME_SIXTY	60 minuti
GUILD_WAR_GAMETIME_TEN	10 minuti
GUILD_WAR_GAMETIME_THIRTY	30 minuti
GUILD_WAR_LIMIT_30MIN	Tempo: 30 minuti
GUILD_WAR_REWARD_POTION	Ricompensa: Il vincitore riceve pozioni.
GUILD_WAR_SELECT_WAR	Seleziona tipo di battaglia
GUILD_WAR_TYPE_DEFENSE	Battaglia difensiva
GUILD_WAR_TYPE_DIE	Battaglia arena
GUILD_WAR_TYPE_FLAG	Battaglia per la bandiera
GUILD_WAR_TYPE_NORMAL	Battaglia campale
GUILD_WAR_TYPE_TIGER	Battaglia di annientamento
GUILD_WAR_TYPE_TIME	Attacco a tempo
GUILD_WAR_USE_BATTLE_MAP	Usa il campo di battaglia della Gilda
GUILD_WAR_USE_NORMAL_MAP	Luogo: mappa normale
GUILD_WAR_WIN_CHECK_SCORE	Chi ha il risultato maggiore vince la guerra.
GUILD_WAR_WIN_FIVE	Cinque round
GUILD_WAR_WIN_ONE	Un round
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Conquista la bandiera dell'avversario
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	e portala alla tua base
GUILD_WAR_WIN_THREE	Tre round
GUILD_WAR_WIN_WIPE_OUT_GUILD	Per vincere distruggi tutti i tuoi avversari.
GUILD_WHITE_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Ricompense per la classifica:\n1° posto: titolo "Giudice di ghiaccio" e Alaghiaccio di Balathor (5 giorni)\n2° posto: Alaghiaccio di Balathor (3 giorni)\n3° posto: Alaghiaccio di Balathor (1 giorno)
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	Gli effetti sono già attivi.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	Si può usare solo nella Cripta di Balathor.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	Devi spostare l'Uovo di drago infuocato nell'altra direzione.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	La Hwacha è pronto per essere usata!
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	Concentrati sull'Uovo di drago congelato prima che scompaia tra %d secondi.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Hai scacciato con successo il freddo gelido.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	Il ruggito di Balathor scuote la cripta.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	L'Uovo di Balathor non è vicino a lui: non si trattiene più!
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Le Uova di Balathor sono di nuovo vicine a lui. Si proteggerà per poi scatenare tutta la sua potenza.
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Non sei riuscito a completare con successo la Cripta di Balathor. Verrai teletrasportato fuori tra 5 minuti.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	Verrai teletrasportato fuori tra 3 minuti. Puoi parlare con Dolnarr, guardiano dei draghi, per uscire immediatamente dal dungeon.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Non puoi più caricare altre frecce.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	I Sigilli di Balathor sono stati notevolmente indeboliti a causa della distruzione di un Uovo di drago.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	La morte dell'eroe ha indebolito i Sigilli di Balathor.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	I Sigilli di Balathor sono stati indeboliti perché qualcuno è stato congelato.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Distruggi Cristalli di ghiaccio antichi per ottenere frecce infuocate.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Distruggi in fretta l'Uovo di drago congelato!
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	Dopo 10 secondi apparirà l'Uovo di Balathor e sarà possibile effettuare un attacco mirato.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	Balathor fugge lasciando il suo tesoro incustodito.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	Il prossimo attacco mirato richiederà più danni.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Un Uovo di Balathor evoca un magico Freddo gelido. Esegui un attacco mirato per impedirgli di farlo.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Hai rinunciato a dominare la Cripta di Balathor. Verrai teletrasportato fuori tra 1 minuto.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	La Hwacha è attualmente carica di %d frecce infuocate.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Tempo rimanente: %d
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STAGE_REMAIN_TIME	Tra %d minuti verrai teletrasportato fuori. Puoi parlare con Dolnarr, guardiano dei draghi, per uscire immediatamente dal dungeon.
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STATGE	Puoi raccogliere la tua ricompensa dal Tesoro di Balathor. Verrai teletrasportato fuori tra 5 minuti.
GUILD_WHITE_DRAGON_LAIR_NOTICE_SPAWNEED_BROKEN_EGG	È apparso l'Uovo di drago infuocato.
GUILD_WHITE_DRAGON_LAIR_NOT_ENOUGH_GUILD_SP	Non hai abbastanza Forza del drago.
GUILD_WHITE_DRAGON_LAIR_PROTECTED_EGGS	Distruggi le uova per infliggere danni!
GUILD_WHITE_DRAGON_LAIR_PUT_EGGS_BACK_IN_ORIGINAL_PLACE	L'uovo di Balathor riappare nel suo luogo di origine.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON	La Hwacha non può essere caricata finché non viene riparata.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON_SUCCESS	La Hwacha è ora completamente riparata.
GUILD_WHITE_DRAGON_LAIR_RUN_AWAY_TO_BREATH	Balathor ha visto un Uovo di drago che veniva distrutto. Evita il suo Alito di ghiaccio!
GUILD_WHITE_DRAGON_LAIR_UI_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_1	Rimanenti
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_2	Chance: %d
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_TOOLTIP	Se il seguente numero di Uova di drago infuocate vengono distrutte, il dungeon è fallito: %d
GUILD_WHITE_DRAGON_LAIR_UI_FLYING_FLMAE_BREATH_TOOLTIP	Se i sigilli falliscono al 100%%, Balathor rivolgerà il suo sguardo mortale su di te. (Attuale indebolimento dei sigilli: %d%%)
GUILD_WHITE_DRAGON_LAIR_UI_HIDDEN_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_NAME_TOOLTIP	Hwacha
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_TOOLTIP	Una volta caricate 8 frecce, la corazza a scaglie di Balathor può essere distrutta. Ottieni frecce infuocate da Cristalli di ghiaccio antichi. Attualmente caricati: %d
GUILD_WITHDRAW	Ritirata
GUILD_YOU_DO_NOT_JOIN	Non appartieni a nessuna Gilda
HACK_USER_MESSAGE	Questa funzione non è disponibile, in quanto è stato rilevato un programma di hacking.
HORSE_HEALTH0	Morto
HORSE_HEALTH1	Denutrito
HORSE_HEALTH2	Affamato
HORSE_HEALTH3	Sazio
HORSE_LEVEL1	Cavallo normale
HORSE_LEVEL2	Cavallo da Battaglia
HORSE_LEVEL3	Cavallo militare
HORSE_LEVEL4	Cavallo da guerra potente
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	Desideri lasciar cadere %s ?
HOW_MANY_ITEM_DO_YOU_DROP2	Desideri lasciar cadere %s %d ?
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Hai trasferito %d Palline di gelato nel nuovo Menù Evento.
ICECREAM_EVENT_GET_SCOOP	Oh, hai trovato una Pallina di gelato.
ICECREAM_EVENT_SCOOP_MAX_COUNT	Non puoi più ottenere delle Palline di gelato.
INPUT_MATRIX_CARD_NUMBER	Inserire numer omatrix della carta
INPUT_MATRIX_CARD_TITLE	Matrix della carta
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Inserisci qui il codice che hai inserito nell'iscrizione
INPUT_PRIVATE_CODE_DIALOG_TITLE	Cancella personaggio
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Il papiro del ritorno non può essere unito.
INVENTORY_REALLY_USE_ITEM	Vuoi usare l'item su questo oggetto?
INVENTORY_REALLY_USE_ITEM2	Vuoi veramente utilizzare questo oggetto?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Vuoi veramente mettere il tuo pet nel Trasportino?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Vuoi aprire il Trasportino?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Vuoi dare %s a %s perché lo mangi?
IS_NOT_PET_CHANGE_ITEM	Questo non è l'item Incanta pet.
IS_NOT_PET_ITEM	Questo non è un pet.
ITEM_CANNOT_REFINE	Questo oggetto non si può potenziare.
ITEM_TOOLTIP_DESC_GEM_BAG_DEFAULT	Dopo che si utilizza si possono inserire fino a 9.999 Gaya. | Scompaiono dopo 30 giorni.\nLa Borsa Gaya è commerciabile.
ITEM_TOOLTIP_DESC_GEM_BAG_HAVE_GEM	Borsa Gaya (%d Gaya, commerciabile) \nQuando apri la borsa, ricevi %d Gaya.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD	Come ricompensa per la squadra per cui si è fatto il tifo, si ottiene una Borsa sportiva Gaya.\nNon è commerciabile.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD_HAVE_GEM	Borsa sportiva Gaya (%d Gaya, non è commerciabile.) \nQuando apri la borsa sportiva, ricevi %d Gaya.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Nessuno
JOB_ASSASSIN1	Vicininja
JOB_ASSASSIN2	Lontaninja
JOB_SHAMAN	Shamano
JOB_SHAMAN0	Nessuno
JOB_SHAMAN1	Shamano del drago
JOB_SHAMAN2	Shamano della guarigione
JOB_SURA	Sura
JOB_SURA0	Nessuno
JOB_SURA1	Sura delle armi
JOB_SURA2	Sura della magia
JOB_WARRIOR	Guerriero
JOB_WARRIOR0	Nessuno
JOB_WARRIOR1	Guerriero corporale
JOB_WARRIOR2	Guerriero mentale
JOB_WOLFMAN	Lican
JOB_WOLFMAN0	Lican principiante
JOB_WOLFMAN1	Istinto
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Chiudere o salvare?
KEYCHANGE_IMPOSSIBLE_CHANGE	Qui [Ctrl], [Alt] e [Shift] non sono ammessi!
KEYCHANGE_SAVE_EXIT	Chiudere o salvare?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	MAIUSC + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	MAIUSC + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	MAIUSC + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	MAIUSC + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	MAIUSC + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	MAIUSC + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	MAIUSC + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	MAIUSC + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	MAIUSC + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	MAIUSC + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	MAIUSC + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	MAIUSC + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	MAIUSC + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	MAIUSC + C
KEY_D	D
KEY_DOWN	GIÙ
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	MAIUSC + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	MAIUSC + E
KEY_F	F
KEY_F1	F1
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	MAIUSC + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	MAIUSC + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	MAIUSC + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	MAIUSC + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	MAIUSC + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	MAIUSC + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	MAIUSC + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	MAIUSC + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	MAIUSC + F9
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	MAIUSC + F10
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	MAIUSC + F
KEY_G	G
KEY_GRAVE	\
KEY_GRAVE_LALT	ALT + \
KEY_GRAVE_LCONTROL	CTRL + \
KEY_GRAVE_LSHIFT	MAIUSC + \
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	MAIUSC + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	MAIUSC + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	MAIUSC + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	MAIUSC + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	MAIUSC + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	SINISTRA
KEY_LSHIFT	MAIUSC
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	MAIUSC + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	MAIUSC + M
KEY_N	N
KEY_NUMLOCK	BLOC NUM
KEY_NUMPAD0	TastNum 0
KEY_NUMPAD1	TastNum 1
KEY_NUMPAD2	TastNum 2
KEY_NUMPAD3	TastNum 3
KEY_NUMPAD4	TastNum 4
KEY_NUMPAD5	TastNum 5
KEY_NUMPAD6	TastNum 6
KEY_NUMPAD7	TastNum 7
KEY_NUMPAD8	TastNum 8
KEY_NUMPAD9	TastNum 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	MAIUSC + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	MAIUSC + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	MAIUSC + .
KEY_PGDN	PGGIÙ
KEY_PGUP	PGSU
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	MAIUSC + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	MAIUSC + Q
KEY_R	R
KEY_RIGHT	DESTRA
KEY_R_LALT	ALT + R
