ACCE_ABSORB_COST	Ñòîèìîñòü ñî÷åòàíèÿ: %d
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	İôôåêòû óæå äåéñòâóşò.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	İòî ìîæíî ïğèìåíÿòü òîëüêî â Ñêëåïå Áàëàòîğà.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	Íóæíî ïîäâèíóòü îãíåííîå ÿéöî äğàêîíà â äğóãîì íàïğàâëåíèè.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	Õâà÷õà ãîòîâà ê âûñòğåëó!
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	Êîíöåíòğèğóéòåñü íà çàìåğçøåì ÿéöå - îíî èñ÷åçíåò ÷åğåç %d ñåê.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Âû èçáåæàëè ëåäÿíîé ñòóæè.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	Ğåâ Áàëàòîğà ñîòğÿñàåò ñòåíû ñêëåïà.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	Ğÿäîì ñ Áàëàòîğîì íå îñòàëîñü ÿèö - è òåïåğü îí ğàçâåğíåòñÿ íà ïîëíóş!
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Ğÿäîì ñ Áàëàòîğîì ñíîâà åñòü ÿéöà. Îí áóäåò îñòîğîæåí è íå ñòàíåò äğàòüñÿ â ïîëíóş ñèëó.
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Ó âàñ íå ïîëó÷èëîñü ïğîéòè Ñêëåï Áàëàòîğà. ×åğåç 5 ìèíóò âû ïåğåíåñåòåñü íàğóæó.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	×åğåç 3 ìèíóòû âû ïåğåíåñåòåñü íàğóæó. Âû ìîæåòå ïîãîâîğèòü ñî Ñòğàæåì äğàêîíîâ Äîëüíàğğîì, ÷òîáû ñğàçó ïîêèíóòü ïîäçåìåëüå.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Âû íå ìîæåòå çàãğóçèòü áîëüøå ñòğåë.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	Ïå÷àòü Áàëàòîğà ñåğüåçíî îñëàáëà, ïîòîìó ÷òî áûëî óíè÷òîæåíî ÿéöî äğàêîíà.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	Ñìåğòü ãåğîÿ îñëàáèëà ïå÷àòü Áàëàòîğà.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	Ïå÷àòü Áàëàòîğà îñëàáëà, ïîòîìó ÷òî êòî-òî áûë çàìîğîæåí.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Óíè÷òîæàéòå äğåâíèå ëåäÿíûå êğèñòàëëû, ÷òîáû äîáûòü ïûëàşùèå ñòğåëû.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Ñêîğåå óíè÷òîæüòå çàìåğçøåå ÿéöî!
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	×åğç 10 ñåêóíä ïîÿâèòñÿ ÿéöî Áàëàòîğà, è ìîæíî áóäåò ïğîâåñòè ïğèöåëüíóş àòàêó.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	Áàëàòîğ áåæèò è áğîñàåò ñâîå ñîêğîâèùå.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	Äëÿ ñëåäóşùåé ïğèöåëüíîé àòàêè íóæíî áîëüøå óğîíà.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Îäíî èç ÿèö Áàëàòîğà ïğèçûâàåò âîëøåáíóş ëåäÿíóş ñòóæó! Ïğîâåäèòå ïğèöåëüíóş àòàêó, ÷òîáû åìó ïîìåøàòü.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Âû áğîñèëè ïîïûòêó ïğîéòè Ñêëåï Áàëàòîğà. ×åğåç 1 ìèíóòó âû ïåğåíåñåòåñü íàğóæó.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	Õâà÷õà ñåé÷àñ çàğÿæåíà %d ïûëàşùèìè ñòğåëàìè.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Îñòàëîñü: %d
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STAGE_REMAIN_TIME	×åğåç %d ìèí. âû ïåğåíåñåòåñü íàğóæó. Âû ìîæåòå ïîãîâîğèòü ñî Ñòğàæåì äğàêîíîâ Äîëüíàğğîì, ÷òîáû ñğàçó ïîêèíóòü ïîäçåìåëüå.
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STATGE	Âû ìîæåòå çàáğàòü ñâîş íàãğàäó ó Ñîêğîâèùà Áàëàòîğà. ×åğåç 5 ìèíóò âû ïåğåíåñåòåñü íàğóæó.
GUILD_WHITE_DRAGON_LAIR_NOTICE_SPAWNEED_BROKEN_EGG	Ïîÿâèëîñü îãåííîå ÿéöî.
GUILD_WHITE_DRAGON_LAIR_NOT_ENOUGH_GUILD_SP	Ó âàñ íå õâàòàåò Ìîùè Äğàêîíà.
GUILD_WHITE_DRAGON_LAIR_PROTECTED_EGGS	Óíè÷òîæüòå ÿéöà, ÷òîáû ïğè÷èíèòü óğîí!
GUILD_WHITE_DRAGON_LAIR_PUT_EGGS_BACK_IN_ORIGINAL_PLACE	ßéöî Áàëàòîğà ñíîâà ïîÿâëÿåòñÿ íà ñâîåì ìåñòå.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON	×òîáû çàğÿäèòü õâà÷õà, íóæíî åå ñíà÷àëà ïî÷èíèòü.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON_SUCCESS	Õâà÷õà îòğåìîíòèğîâàíà.
GUILD_WHITE_DRAGON_LAIR_RUN_AWAY_TO_BREATH	Áàëàòîğ óâèäåë, êàê óíè÷òîæèëè ÿéöî äğàêîíà. Áåğåãèòåñü åãî ëåäÿíîãî äûõàíèÿ!
GUILD_WHITE_DRAGON_LAIR_UI_BOSS_NAME_TOOLTIP	Áàëàòîğ
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_1	Îñòàëîñü
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_2	øàíñîâ: %d
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_TOOLTIP	Åñëè óíè÷òîæèòü îãíåííûå ÿéöà äğàêîíà (%d), ïîäçåìåëüå áóäåò ïğîâàëåíî.
GUILD_WHITE_DRAGON_LAIR_UI_FLYING_FLMAE_BREATH_TOOLTIP	Êîãäà ïå÷àòè îòêàçûâàşò íà 100%%, Áàëàòîğ íàïğàâëÿåò íà âàñ ñâîé ñìåğòîíîñíûé âçãëÿä. (Òåêóùåå îñëàáëåíèå ïå÷àòåé: %d %%)
GUILD_WHITE_DRAGON_LAIR_UI_HIDDEN_BOSS_NAME_TOOLTIP	Áàëàòîğ
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_NAME_TOOLTIP	Õâà÷õà
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_TOOLTIP	Êîãäà â õâàí÷õà çàğÿæåíî 8 ñòğåë, îíà ìîæåò ïğîáèòü ÷åøóéíóş áğîíş Áàëàòîğà. Ïûëàşùèå ñòğåëû ìîæíî íàéòè â äğåâíèõ ëåäÿíûõ êğèñòàëëàõ. Ñåé÷àñ çàğÿæåíî: %d
GUILD_WITHDRAW	Îòâîä
GUILD_YOU_DO_NOT_JOIN	Âû íå ñîñòîèòå íè â îäíîé ãèëüäèè.
HACK_USER_MESSAGE	İòà ôóíêöèÿ íåäîñòóïíà, ïîñêîëüêó îáíàğóæåíà ïğîãğàììà äëÿ âçëîìà.
HORSE_HEALTH0	Óáèò
HORSE_HEALTH1	Ãîëîäåí
HORSE_HEALTH2	Óìèğàåò îò ãîëîäà
HORSE_HEALTH3	ïåğåãğóæåí
HORSE_LEVEL1	Îáû÷íûé êîíü
HORSE_LEVEL2	Áğîíåâîé êîíü
HORSE_LEVEL3	Áîåâîé êîíü
HORSE_LEVEL4	Ìîãó÷èé áîåâîé êîíü
HOUR	×.
HOW_MANY_ITEM_DO_YOU_DROP1	Õîòèòå âûáğîñèòü %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Õîòèòå âûáğîñèòü %s %d ?
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Âû ïåğåíåñëè ëåäÿíûå ïóëè (%d) â íîâîå ìåíş ñîáûòèÿ.
ICECREAM_EVENT_GET_SCOOP	Âû ïîëó÷èëè ëåäÿíóş ïóëş.
ICECREAM_EVENT_SCOOP_MAX_COUNT	Âû íå ìîæåòå ïîëó÷èòü áîëüøå ëåäÿíûõ ïóëü.
INPUT_MATRIX_CARD_NUMBER	Ââåäèòå íîìåğ "ìàòğèöà"-êàğòû.
INPUT_MATRIX_CARD_TITLE	"Ìàòğèöà"-êàğòà
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Ââåäèòå êîä óäàëåíèÿ èç óïğàâëåíèÿ ó÷¸òíîé çàïèñüş.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Óäàëèòü ïåğñîíàæ
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Êîìáèíèğîâàíèå ñâèòêà Âîçâğàùåíèÿ íåâîçìîæíî.
INVENTORY_REALLY_USE_ITEM	Ïğèìåíèòü íà ıòîì ïğåäìåòå?
INVENTORY_REALLY_USE_ITEM2	Âû òî÷íî õîòèòå èñïîëüçîâàòü ıòîò ïğåäìåò?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Æåëàåòå äåéñòâèòåëüíî ïîìåñòèòü ñâîåãî ïèòîìöà â Òğàíñïîğòíóş êëåòêó?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Æåëàåòå îòêğûòü Òğàíñïîğòíóş êëåòêó?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Æåëàåòå %s ñêîğìèòü %s?
IS_NOT_PET_CHANGE_ITEM	İòî íå ïğåäìåò «Çà÷àğîâàòü ïèòîìöà».
IS_NOT_PET_ITEM	İòî íå ïèòîìåö.
ITEM_CANNOT_REFINE	İòîò ïğåäìåò íåëüçÿ óëó÷øèòü.
ITEM_TOOLTIP_DESC_GEM_BAG_DEFAULT	Ïîñëå èñïîëüçîâàíèÿ âû ìîæåòå ñîáğàòü â íåãî äî 9.999 Gaya. | Îíè ïğîïàäóò ÷åğåç 30 äíåé.\nGaya-óçåëîê ïîäëåæèò òîğãó.
ITEM_TOOLTIP_DESC_GEM_BAG_HAVE_GEM	Gaya-óçåëîê (%d Gaya, ïîäëåæèò òîğãó). \nÎòêğûâ óçåëîê, âû ïîëó÷èòå %d Gaya.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD	Â íàãğàäó çà òî, ÷òî âû áîëåëè çà êîìàíäó ïîáåäèòåëåé, âû ïîëó÷àåòå ñïîğòèâíóş ñóìêó ñ Gaya.\nÎíà íå ïîäëåæèò òîğãó
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD_HAVE_GEM	Ñïîğòèâíàÿ ñóìêà ñ Gaya (%d Gaya, íå ïîäëåæèò òîğãó). \nÎòêğûâ ñïîğòèâíóş ñóìêó, âû ïîëó÷èòå %d Gaya.
JOB_ASSASSIN	Íèíäçÿ
JOB_ASSASSIN0	Íèêàêîé
JOB_ASSASSIN1	Íèíäçÿ-ìå÷íèê
JOB_ASSASSIN2	Íèíäçÿ-ëó÷íèê
JOB_SHAMAN	Øàìàí
JOB_SHAMAN0	Íèêàêîé
JOB_SHAMAN1	Øàìàí-äğàêîí
JOB_SHAMAN2	Øàìàí-ëåêàğü
JOB_SURA	Ñóğà
JOB_SURA0	Íèêàêîé
JOB_SURA1	Ñóğà-âîèí
JOB_SURA2	Ñóğà-ìàã
JOB_WARRIOR	Âîèí
JOB_WARRIOR0	Íåò
JOB_WARRIOR1	Âîèí ôèçè÷åñêîãî áîÿ
JOB_WARRIOR2	Âîèí äóõîâíîãî áîÿ
JOB_WOLFMAN	Ëèêàí
JOB_WOLFMAN0	Ëèêàí ëşáèòåëü
JOB_WOLFMAN1	Èíñòèíêò
JOB_WOLFMAN2	N.A.
KEYCHANGE_DONT_SAVE_EXIT	Çàêğûòü íå ñîõğàíèâ?
KEYCHANGE_IMPOSSIBLE_CHANGE	[Ctrl], [Alt], [Shift] çäåñü íå äîïóñêàşòñÿ!
KEYCHANGE_SAVE_EXIT	Ñîõğàíèòü è çàêğûòü?
KEY_0	0
KEY_0_LALT	ALT + 0
KEY_0_LCONTROL	CTRL + 0
KEY_0_LSHIFT	SHIFT + 0
KEY_1	1
KEY_1_LALT	ALT + 1
KEY_1_LCONTROL	CTRL + 1
KEY_1_LSHIFT	SHIFT + 1
KEY_2	2
KEY_2_LALT	ALT + 2
KEY_2_LCONTROL	CTRL + 2
KEY_2_LSHIFT	SHIFT + 2
KEY_3	3
KEY_3_LALT	ALT + 3
KEY_3_LCONTROL	CTRL + 3
KEY_3_LSHIFT	SHIFT + 3
KEY_4	4
KEY_4_LALT	ALT + 4
KEY_4_LCONTROL	CTRL + 4
KEY_4_LSHIFT	SHIFT + 4
KEY_5	5
KEY_5_LALT	ALT + 5
KEY_5_LCONTROL	CTRL + 5
KEY_5_LSHIFT	SHIFT + 5
KEY_6	6
KEY_6_LALT	ALT + 6
KEY_6_LCONTROL	CTRL + 6
KEY_6_LSHIFT	SHIFT + 6
KEY_7	7
KEY_7_LALT	ALT + 7
KEY_7_LCONTROL	CTRL + 7
KEY_7_LSHIFT	SHIFT + 7
KEY_8	8
KEY_8_LALT	ALT + 8
KEY_8_LCONTROL	CTRL + 8
KEY_8_LSHIFT	SHIFT + 8
KEY_9	9
KEY_9_LALT	ALT + 9
KEY_9_LCONTROL	CTRL + 9
KEY_9_LSHIFT	SHIFT + 9
KEY_A	A
KEY_ADD	+
KEY_A_LALT	ALT + A
KEY_A_LCONTROL	CTRL + A
KEY_A_LSHIFT	SHIFT + A
KEY_B	B
KEY_B_LALT	ALT + B
KEY_B_LCONTROL	CTRL + B
KEY_B_LSHIFT	SHIFT + B
KEY_C	C
KEY_COMMA	,
KEY_COMMA_LALT	ALT + ,
KEY_COMMA_LCONTROL	CTRL + ,
KEY_COMMA_LSHIFT	SHIFT + ,
KEY_C_LALT	ALT + C
KEY_C_LCONTROL	CTRL + C
KEY_C_LSHIFT	SHIFT + C
KEY_D	D
KEY_DOWN	ÑÒĞÅËÊÀ ÂÍÈÇ
KEY_D_LALT	ALT + D
KEY_D_LCONTROL	CTRL + D
KEY_D_LSHIFT	SHIFT + D
KEY_E	E
KEY_E_LALT	ALT + E
KEY_E_LCONTROL	CTRL + E
KEY_E_LSHIFT	SHIFT + E
KEY_F	F
KEY_F1	F1
KEY_F1_LALT	ALT + F1
KEY_F1_LCONTROL	CTRL + F1
KEY_F1_LSHIFT	SHIFT + F1
KEY_F2	F2
KEY_F2_LALT	ALT + F2
KEY_F2_LCONTROL	CTRL + F2
KEY_F2_LSHIFT	SHIFT + F2
KEY_F3	F3
KEY_F3_LALT	ALT + F3
KEY_F3_LCONTROL	CTRL + F3
KEY_F3_LSHIFT	SHIFT + F3
KEY_F4	F4
KEY_F4_LALT	ALT + F4
KEY_F4_LCONTROL	CTRL + F4
KEY_F4_LSHIFT	SHIFT + F4
KEY_F5	F5
KEY_F5_LALT	ALT + F5
KEY_F5_LCONTROL	CTRL + F5
KEY_F5_LSHIFT	SHIFT + F5
KEY_F6	F6
KEY_F6_LALT	ALT + F6
KEY_F6_LCONTROL	CTRL + F6
KEY_F6_LSHIFT	SHIFT + F6
KEY_F7	F7
KEY_F7_LALT	ALT + F7
KEY_F7_LCONTROL	CTRL + F7
KEY_F7_LSHIFT	SHIFT + F7
KEY_F8	F8
KEY_F8_LALT	ALT + F8
KEY_F8_LCONTROL	CTRL + F8
KEY_F8_LSHIFT	SHIFT + F8
KEY_F9	F9
KEY_F9_LALT	ALT + F9
KEY_F9_LCONTROL	CTRL + F9
KEY_F9_LSHIFT	SHIFT + F9
KEY_F10	F10
KEY_F10_LALT	ALT + F10
KEY_F10_LCONTROL	CTRL + F10
KEY_F10_LSHIFT	SHIFT + F10
KEY_F_LALT	ALT + F
KEY_F_LCONTROL	CTRL + F
KEY_F_LSHIFT	SHIFT + F
KEY_G	G
KEY_GRAVE	`
KEY_GRAVE_LALT	ALT + `
KEY_GRAVE_LCONTROL	CTRL + `
KEY_GRAVE_LSHIFT	SHIFT + `
KEY_G_LALT	ALT + G
KEY_G_LCONTROL	CTRL + G
KEY_G_LSHIFT	SHIFT + G
KEY_H	H
KEY_H_LALT	ALT + H
KEY_H_LCONTROL	CTRL + H
KEY_H_LSHIFT	SHIFT + H
KEY_I	I
KEY_I_LALT	ALT + I
KEY_I_LCONTROL	CTRL + I
KEY_I_LSHIFT	SHIFT + I
KEY_J	J
KEY_J_LALT	ALT + J
KEY_J_LCONTROL	CTRL + J
KEY_J_LSHIFT	SHIFT + J
KEY_K	K
KEY_K_LALT	ALT + K
KEY_K_LCONTROL	CTRL + K
KEY_K_LSHIFT	SHIFT + K
KEY_L	L
KEY_LALT	ALT
KEY_LCONTROL	CTRL
KEY_LEFT	ÑÒĞÅËÊÀ ÂËÅÂÎ
KEY_LSHIFT	SHIFT
KEY_L_LALT	ALT + L
KEY_L_LCONTROL	CTRL + L
KEY_L_LSHIFT	SHIFT + L
KEY_M	M
KEY_M_LALT	ALT + M
KEY_M_LCONTROL	CTRL + M
KEY_M_LSHIFT	SHIFT + M
KEY_N	N
KEY_NUMLOCK	NUMLOCK
KEY_NUMPAD0	NUMPAD 0
KEY_NUMPAD1	NUMPAD 1
KEY_NUMPAD2	NUMPAD 2
KEY_NUMPAD3	NUMPAD 3
KEY_NUMPAD4	NUMPAD 4
KEY_NUMPAD5	NUMPAD 5
KEY_NUMPAD6	NUMPAD 6
KEY_NUMPAD7	NUMPAD 7
KEY_NUMPAD8	NUMPAD 8
KEY_NUMPAD9	NUMPAD 9
KEY_N_LALT	ALT + N
KEY_N_LCONTROL	CTRL + N
KEY_N_LSHIFT	SHIFT + N
KEY_O	O
KEY_O_LALT	ALT + O
KEY_O_LCONTROL	CTRL + O
KEY_O_LSHIFT	SHIFT + O
KEY_P	P
KEY_PERIOD	.
KEY_PERIOD_LALT	ALT + .
KEY_PERIOD_LCONTROL	CTRL + .
KEY_PERIOD_LSHIFT	SHIFT + .
KEY_PGDN	PAGE DOWN
KEY_PGUP	PAGE UP
KEY_P_LALT	ALT + P
KEY_P_LCONTROL	CTRL + P
KEY_P_LSHIFT	SHIFT + P
KEY_Q	Q
KEY_Q_LALT	ALT + Q
KEY_Q_LCONTROL	CTRL + Q
KEY_Q_LSHIFT	SHIFT + Q
KEY_R	R
KEY_RIGHT	ÑÒĞÅËÊÀ ÂÏĞÀÂÎ
KEY_R_LALT	ALT + R
KEY_R_LCONTROL	CTRL + R
KEY_R_LSHIFT	SHIFT + R
KEY_S	S
KEY_SPACE	ÏĞÎÁÅË
KEY_SUBTRACT	-
KEY_SYSRQ	PRNT SCRN
KEY_S_LALT	ALT + S
KEY_S_LCONTROL	CTRL + S
KEY_S_LSHIFT	SHIFT + S
KEY_T	T
KEY_TAB	TAB
KEY_T_LALT	ALT + T
KEY_T_LCONTROL	CTRL + T
KEY_T_LSHIFT	SHIFT + T
KEY_U	U
KEY_UP	ÑÒĞÅËÊÀ ÂÂÅĞÕ
KEY_U_LALT	ALT + U
KEY_U_LCONTROL	CTRL + U
KEY_U_LSHIFT	SHIFT + U
KEY_V	V
KEY_V_LALT	ALT + V
KEY_V_LCONTROL	CTRL + V
KEY_V_LSHIFT	SHIFT + V
KEY_W	W
KEY_W_LALT	ALT + W
KEY_W_LCONTROL	CTRL + W
KEY_W_LSHIFT	SHIFT + W
KEY_X	X
KEY_X_LALT	ALT + X
KEY_X_LCONTROL	CTRL + X
KEY_X_LSHIFT	SHIFT + X
KEY_Y	Y
KEY_Y_LALT	ALT + Y
KEY_Y_LCONTROL	CTRL + Y
KEY_Y_LSHIFT	SHIFT + Y
KEY_Z	Z
KEY_Z_LALT	ALT + Z
KEY_Z_LCONTROL	CTRL + Z
KEY_Z_LSHIFT	SHIFT + Z
LEADER_NAME	Èìÿ ëèäåğà
LEAVE_FROM_GUILD_SUCCESS_MESSAGE	Âû âûøëè èç ãèëüäèè.
LEFT_SEAT	[ÍÅ Â ÈÃĞÅ]
LEFT_SEAT_IMPOSSIBLE_ACTION	İòîò èãğîê ñåé÷àñ â ğåæèìå «Íå â èãğå».
LEFT_SEAT_LOGOUT	Âû âûøëè èç èãğû: èñòåêëî âûáğàííîå âàìè âğåìÿ «Íå â èãğå».
LEFT_SEAT_LOGOUT_WAIT_TIME_TOOLTIP	Åñëè ïåğåêëş÷èòü ïåğñîíàæà â ğåæèì «Íå â èãğå», îí îñòàíåòñÿ â í¸ì äî èñòå÷åíèÿ âûáğàííîãî âğåìåíè. Ïîñëå ıòîãî âû àâòîìàòè÷åñêè âûõîäèòå èç èãğû.
LEFT_SEAT_RELEASE_ASK	Âû â ğåæèìå «Íå â èãğå». Õîòèòå âåğíóòüñÿ â èãğó?
LEFT_SEAT_STATE_OFF	Âû ñíîâà â èãğå.
LEFT_SEAT_STATE_ON	Âû â ğåæèìå «Íå â èãğå».
LEFT_SEAT_WAIT_TIME_TOOLTIP	Åñëè âû íå àêòèâíû, ïîä èìåíåì ïåğñîíàæà ÷åğåç çàäàííîå âàìè âğåìÿ ïîÿâëÿåòñÿ íàäïèñü [ÍÅ Â ÈÃĞÅ].
LEFT_TIME	Îñòàâ.âğåìÿ
LEFT_TIME_LESS_THAN_1_MIN	ìåíåå 1 ìèíóòû
LIMIT_LEVEL_GUILD	Óğîâåíü ãèëüäèè: %d
LOGIN_CONNECT_FAILURE	Îøèáêà ïğè ñîåäèíåíèè ñ ñåğâåğîì.
LOGIN_CONNECT_SUCCESS	Âû ñîåäèíåíû ñ ñåğâåğîì.
LOGIN_CONNETING	Ïîäîæäèòå. Èäåò ñîåäèíåíèå ñ ñåğâåğîì.
LOGIN_FAILURE_ALREAY	Âàø àêêàóíò óæå ïîäêëş÷åí.
LOGIN_FAILURE_BACKEND_ERR	Ïğîèçîøëà îøèáêà. Ñâÿæèòåñü ñî ñëóæáîé ïîääåğæêè.
LOGIN_FAILURE_BE_SAME_KEY	Ïğîáëåìà ñ ğåãèñòğàöèåé
LOGIN_FAILURE_BLOCK_ID	Âàø àêêàóíò çàáëîêèğîâàí.
LOGIN_FAILURE_BLOCK_LOGIN	Çàêğûòûé ñåğâåğ: Âûáåğèòå äğóãîé ñåğâåğ!
LOGIN_FAILURE_COUNTRY_ERR	Êîä ñòğàíû íåâåğíûé.\nÑâÿæèòåñü ñî ñëóæáîé ïîääåğæêè.
LOGIN_FAILURE_INTEGRTING	Âàøà ó÷åòíàÿ çàïèñü ïåğåíîñèòñÿ. \nÏîïğîáóéòå åùå ğàç ÷åğåç íåñêîëüêî ìèíóò.
LOGIN_FAILURE_IOVATION_ERR	×òîáû çàéòè íà ıòîò ñåğâåğ, âêëş÷èòå äâóõôàêòîğíóş àóòåíòèôèêàöèş.
LOGIN_FAILURE_NOBILL	Íà âàøåì àêêàóíòå íåò èãğîâîãî âğåìåíè.
LOGIN_FAILURE_NOT_AVAIL	Àêêàóíò íåäîñòóïåí.
LOGIN_FAILURE_NOT_EXIST_ID	Íåâåğíîå èìÿ èëè ïàğîëü.
LOGIN_FAILURE_NOT_MAIL_CONFIRM	Òğåáóåòñÿ ïîäòâåğæäåíèå ïî ıëåêòğîííîé ïî÷òå.
LOGIN_FAILURE_REPAIR_ID	Ïğåäìåòû äëÿ ıòîãî àêêàóíòà âîññòàíàâëèâàşòñÿ.
LOGIN_FAILURE_SAMELOGIN	Êòî-òî ïîäêëş÷èëñÿ ÷åğåç âàø àêêàóíò.
LOGIN_FAILURE_SERVER_CLOSED	Çàêğûòûé ñåğâåğ: âîéòè íà íåãî ìîãóò òîëüêî âëàäåëüöû ó÷åòíûõ çàïèñåé, ñîçäàííûõ äî çàêğûòèÿ. Âûáåğèòå äğóãîé.
LOGIN_FAILURE_SERVER_GRADE	İòî çàêğûòûé ñåğâåğ, ê êîòîğîìó ó ıòîãî àêêàóíòà íåò äîñòóïà.
LOGIN_FAILURE_SHUTDOWN	Ñåğâåğ ïîêà åù¸ çàêğûò.
LOGIN_FAILURE_STEAM_SESSION	Âõîä â ïåğåíåñåííûå àêêàóíòû è ğåãèñòğàöèÿ íåâîçìîæíû.
LOGIN_FAILURE_TNT_SESSION	Íå óäàëîñü îòêğûòü êëèåíò. Ïåğåçàïóñòèòå èãğó è âîéäèòå â ñèñòåìó.
LOGIN_FAILURE_TOO_MANY_USER	Â ñîåäèíåíèè îòêàçàíî. Ñåğâåğ ïåğåïîëíåí.
LOGIN_FAILURE_UNKNOWN	Ğåãèñòğàöèÿ  íå ñîñòîÿëàñü ïî íåèçâåñòíûì ïğè÷èíàì.
LOGIN_FAILURE_WEB_BLOCK	Âàñ çàáëîêèğîâàëè íà ñàéòå. Ïîæàëóéñòà ïğîâåğüòå  ñâîé Email.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER	Ââåä¸í íåâåğíûé íîìåğ.
LOGIN_FAILURE_WRONG_MATRIX_CARD_NUMBER_TRIPLE	Íåâåğíûé íîìåğ ââåä¸í òğèæäû. Ñâÿçü áóäåò ïğåğâàíà.
LOGIN_FAILURE_WRONG_PASSWORD	Íåïğàâèëüíîå èìÿ èëè ïàğîëü.
LOGIN_INPUT_ID	Ââåäèòå íîìåğ èäåíòèôèêàöèè.
LOGIN_INPUT_PASSWORD	Ââåäèòå ïàğîëü.
LOGIN_PROCESSING	Ïğîèñõîäèò ğåãèñòğàöèÿ...
LOOTING_SYSTEM_CANNOT_OPEN_MAP	İòî íåëüçÿ îòêğûâàòü çäåñü.
LOOTING_TICKET_DURATION	Îñòàëîñü: %s
LUCKY_BOX_DIALOG_RECV_TEXT	Õîòèòå ïğèíÿòü ïğåäìåò?
LUCKY_BOX_DIALOG_RETRY_TEXT	Õîòèòå åùå ğàç èñïûòàòü óäà÷ó?
MAILBOX_FAIL_USE_TIME_LIMIT	Ïî÷òîâûé ÿùèê îáíîâëÿåòñÿ. Ïîâòîğèòå ïîïûòêó ïîçæå.
MAILBOX_POST_ALL_DELETE_FAIL_EMPTY	Íåò ïèñåì
MAILBOX_POST_ALL_DELETE_QUESTION1	Óäàëèòü âñå ïèñüìà?
MAILBOX_POST_ALL_DELETE_QUESTION2	Ïèñüìà ñ ïğèëîæåíèÿìè íå áóäóò óäàëåíû.
MAILBOX_POST_ALL_GET_ITEMS_FAIL_EMPTY	Â âàøåì ïî÷òîâîì ÿùèêå íåò ïèñåì ñ ïğèëîæåíèÿìè.
MAILBOX_POST_ALL_GET_ITEMS_QUESTION	Ïğèíÿòü ïğèëîæåíèå? (çà âû÷åòîì 5% íàëîãà íà ÿíã)
MAILBOX_POST_DELETE_FAIL_EXIST_ITEMS	Íå óäàëîñü óäàëèòü ïèñüìî. Ñíà÷àëà ïğèìèòå ïğèëîæåíèå.
