ACCE_ABSORB_COST	Costuri combinaşie: %d
GUILD_BATTLE_NEED_REWARD_OPEN_KEY_MESSAGE	Nu ai o Cheie Victorie pentru a deschide cufãrul. Ucide monºtri pentru a obşine o cheie.
GUILD_BATTLE_NOT_ENOUGH_INEVENTORY_MESSAGE	Creeazã spaşiu în inventar ºi încearcã din nou.
GUILD_BATTLE_NOT_ENOUGH_MOVE_TICKET_MESSAGE	Nu ai un Tichet Bãtãlie Breaslã.
GUILD_BATTLE_NOT_ENOUGH_TIME_OF_CREATE_TO_APPLY	Nu poşi participa deocamdatã, deoarece breasla ta a fost fondatã în ultimele 24 de ore.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE	Aceastã zonã a fost cuceritã. În scurt timp va apãrea un portal ºi monºtrii vor ieºi pentru a apãra zona.
GUILD_BATTLE_OCCUPY_AREA_MESSAGE_IN_OUTPOST	%s a fost cuceritã. În scurt timp va apãrea un portal ºi monºtrii vor ieºi pentru a apãra zona.
GUILD_BATTLE_OCCUPY_AREA_OTHERS_GUILD_MESSAGE	Aceastã zonã a fost deja cuceritã de o altã breaslã. Vei fi teleportat la Avanpost Breaslã în scurt timp.
GUILD_BATTLE_ONGOING	Bãtãlie în Desfãºurare
GUILD_BATTLE_OPEN_REWARD_BOX	Doreºti sã deschizi %s?
GUILD_BATTLE_OTHER_GUILD_ONGOING	Celelalte bresle se luptã deja.
GUILD_BATTLE_OUTPOST_REMAIN_TIME	Timp rãmas: %s
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Condişii îndeplinite?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	Bãtãlia începe în: %s
GUILD_BATTLE_PERSONAL_BUFF	Suport Recompensã
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Primeºti Recompensã Suport
GUILD_BATTLE_PK_GUILD_MESSAGE	%s a ucis %d jucãtori din alte bresle.
GUILD_BATTLE_PLAYER_KILL	Ai ucis un membru al breslei %s.
GUILD_BATTLE_QUALIFICATION	Învinge-l pe Regele Dragon sau foloseºte un\nTichet Bãtãlia Breslelor pentru a participa.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Mai încearcã odatã.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Vei fi teleportat în %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Ai reînviat cu Reînviere Breaslã.
GUILD_BATTLE_START_MESSAGE	Bãtãlia Breslelor a început! Participã la provocare apãsând pe butonul Intrã din meniul Bãtãlia Breslelor!
GUILD_BATTLE_STATUS_BOARD_PK	PK: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d/%d
GUILD_BATTLE_TEAM_NAME_BLUE	Albastru
GUILD_BATTLE_TEAM_NAME_GREEN	Verde
GUILD_BATTLE_TEAM_NAME_RED	Roºu
GUILD_BATTLE_TEAM_NAME_YELLOW	Galben
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Ai folosit Tichet Portal Breaslã ºi vei fi teleportat la %s în curând.
GUILD_BATTLE_USE_SCROLL	Doreºti sã participi la Bãtãlia Breslelor?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Înregistrarea ta pentru Bãtãlia Breslelor a fost anulatã.
GUILD_BOARD_ID	Membru
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_ALTAR	Altar
GUILD_BUILDING_CATEGORY_SMELT	Clãdiri de Rafinare
GUILD_BUILDING_CATEGORY_SPECIAL	Altare
GUILD_BUILDING_CATEGORY_STORAGE	Depozit Breaslã
GUILD_BUILDING_FIX_CHANGE	Sigur doreºti sã schimbi pozişia?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cost: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Chiar vrei sã ºtergi acest obiect?
GUILD_BUILDING_FIX_NEED_BUILDING	Nicio clãdire prezentã.
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_INVEST_BUILDING_CHANGED	Nu ai putut investi în aceastã clãdire deoarece a fost modificatã.
GUILD_BUILDING_INVEST_BUILDING_EXP_TOOLTIP	EXP clãdire
GUILD_BUILDING_INVEST_BUTTON_TOOLTIP	Investeºte EXP în clãdire
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVENTORY	Nu este suficient spaşiu în inventar pentru a primi Tichete Clãdiri Speciale.
GUILD_BUILDING_INVEST_NOT_ENOUGH_INVEST_COUNT	Nu este suficient spaşiu în inventar pentru a primi Bilete Clãdiri Speciale.
GUILD_BUILDING_INVEST_NOT_ENOUGH_ITEM	Îşi lipsesc %s obiecte.
GUILD_BUILDING_INVEST_QUESTION	Vrei sã investeºti 1 %s în %s?
GUILD_BUILDING_INVEST_RESULT_MESSAGE_LEVEL_UP	%s a atins nivelul %s.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_MAX_LEVEL	Aceastã clãdire a atins deja nivelul maxim ºi nu mai poate fi îmbunãtãşitã.
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NORMAL	Ai folosit %s pentru a investi în %s (%sEXP).
GUILD_BUILDING_INVEST_RESULT_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_LEVEL_UP	Nivelul breslei nu este suficient pentru a îmbunãtãşi aceastã clãdire. Creºte mai întâi nivelul breslei.
GUILD_BUILDING_LANDSCAPE_BUTTON_TOOLTIP	Peisaj
GUILD_BUILDING_LOG_PLUS	Buºtean+
GUILD_BUILDING_NAME	Numele clãdirii
GUILD_BUILDING_PLY_PLUS	Placaj+
GUILD_BUILDING_SMELT_STONE	Piatrã Runicã
GUILD_BUILDING_STONE_PLUS	Piatrã Fundaşie+
GUILD_BUILDING_USE_COST_LOG_NOTUSE	Nu ai permisiunea de a folosi acest obiect.
GUILD_BUILDING_USE_COST_LOG_TYPE_FACILITY	Clãdiri de îmbunãtãşire
GUILD_BUILDING_USE_COST_LOG_TYPE_SMELT	Clãdiri de Rafinare
GUILD_BUILDING_USE_COST_LOG_TYPE_SPECIAL	Altare
GUILD_BUILDING_USE_COST_LOG_UI_CLOSE	Închide
GUILD_BUILDING_USE_COST_LOG_UI_NAME	Nume
GUILD_BUILDING_USE_COST_LOG_UI_TYPE	Tip Clãdire
GUILD_BUILDING_USE_COST_LOG_UI_YANG	Sumã Primitã
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Spiritul Dragonului este deja plina.
GUILD_CHANGEMASTER_TEXT1	Noul lider va fi: %s
GUILD_CHANGEMASTER_TEXT2	Doreºti sã numeºti un nou lider de breaslã?
GUILD_CHANGEMASTER_TEXT3	Eºti sigur cã vrei sã predai
GUILD_CHANGEMASTER_TEXT4	funcşia de lider de breaslã?
GUILD_COMMENT	Scrie
GUILD_CONTENTS_ONGOING	Bãtãlie în Desfãºurare
GUILD_CREATE_ERROR_INSULT_NAME	Numele breslei nu este permis.
GUILD_DEFAULT_GRADE	Membrii breslei
GUILD_DELETE	ªterge
GUILD_DELETE_PLAYER_EXP_ICON_TOOLTIP	EXP Utilizat
GUILD_DELETE_PLAYER_EXP_INPUT_VALUE_LESS_THAN_100	Valoare Minimã: 100
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_1	Nu existã experienşã disponibilã pentru utilizare.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_EXP_2	Nu ai destule puncte de experienşã.
GUILD_DELETE_PLAYER_EXP_NOT_ENOUGH_YANG	Nu ai suficient Yang.
GUILD_DELETE_PLAYER_YANG_ICON_TOOLTIP	Cantitate necesarã
GUILD_DEPOSIT	Pune deoparte
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Nu poşi pãrãsi breasla acum, deoarece eºti în luptã.
GUILD_DISBAND_SUCCESS_MESSAGE	Breasla a fost desfiinşatã.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Nu ai suficiente Tichete Donaşie Mare.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Nu mai existã loc în inventar. Nu poşi dona.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Trebuie sã fi atins nivelul 30 pentru a putea dona.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Nu ai suficiente Tichete Donaşie Medie.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Nu ai suficient Yang.
GUILD_DONATE_FAIL_TIME	Nu poşi dona timp de 24 de ore dupã ce ai intrat în breaslã.
GUILD_DONATE_QUESTION_HIGH	Vrei sã faci o Donaşie Mare?
GUILD_DONATE_QUESTION_MIDDLE	Vrei sã faci o Donaşie Medie?
GUILD_DONATE_QUESTION_NORMAL	Vrei sã faci o Donaşie Micã?
GUILD_DO_YOU_HEAL_GSP	Doresti sa folosesti %d Yang pentru a restaura %d unitati din Spiritul Dragonului?
GUILD_DO_YOU_JOIN	 te-a invitat. Vrei sã te alãturi alianşei?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_RED	Rang general: Adãpostul lui Meley
GUILD_DRAGONLAIR_OVERALL_RANKING_BOARD_TITLE_WHITE	Rang General: Adãpostul lui Meley
GUILD_DRAGONLAIR_PARTY_ALL	Ranguri Totale
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	Locul 11 ºi mai puşin: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Ajutor
GUILD_DRAGONLAIR_PARTY_LINE_ONE	Locul 1: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	Locul 4-10: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	Locul 2-3: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Membri
GUILD_DRAGONLAIR_PARTY_NOW	Ranguri Sãptãmânale
GUILD_DRAGONLAIR_PARTY_PAST	Ranguri Anterioare
GUILD_DRAGONLAIR_PARTY_TIME	Timp
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Recompensã
GUILD_DRAGONLAIR_RANKING_FAIL	EªUAT
GUILD_DRAGONLAIR_RANKING_NONE	NOU
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCES
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_RED	Rang Curent: Adãpostul lui Meley
GUILD_DRAGONLAIR_WEEKLY_RANKING_BOARD_TITLE_WHITE	Rang Curent: Cripta lui Balathor
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Te-ai înregistrat la Cripta lui Balathor. Vorbeºte cu Gardã Dragon Dolnarr pentru a intra. Dupã aceea, ai 10 minute pentru a începe lupta.
GUILD_DRAGON_LAIR_DUNGEON_START	Bãtãlia pentru Cripta lui Balathor a început. Limita de timp în temnişã este de o orã.
GUILD_EMPTY_AREA	Şarã goalã
GUILD_ENEMY_GUILD_NAME	Numele breslei inamicului
GUILD_FACILITY	Clãdire secundarã
GUILD_GEM	Piatrã preşioasã
GUILD_HEADQUARTER	Clãdire principalã
GUILD_HEAL_GSP	Reface Spiritul Dragonului
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_LAND_BASEINFO_LAND_LOCATION_MESSAGE	Teritoriul breslei se aflã în %sla coordonatele %d, %d.
GUILD_LAND_TEXT	Teritoriu Breaslã
GUILD_MARK_NOT_ENOUGH_LEVEL	Cerinta: Minim nivelul 3
GUILD_MARK_UPLOAD_NOTICE	Asteapta un moment pentru a putea adãuga logo-uri breslei.
GUILD_MEMBEROUT_AUTH	Nu poşi elimina niciun membru.
GUILD_MEMBEROUT_NOMAL	Doreºti sã elimini acest membru?
GUILD_MEMBER_JOB	Clasã
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Membru
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP Donatã
GUILD_MESSAGE_NOT_ENOUGH_GUILD_LEVEL_TO_OPEN_NON_NPC_GUILD_SHOP	Disponibil de la nivelul breslei 21.
GUILD_NAME	Numele breslei
GUILD_NOT_ENOUGH_MATERIAL	Nu deşii destul material pentru aceastã clãdire.
GUILD_NOT_ENOUGH_MONEY	Nu deşii destul Yang pentru aceastã clãdire.
GUILD_NO_NOTICE_PERMISSION	Nu îşi este permis sã faci un anunş.
GUILD_OBJECT	Obiecte
GUILD_OBJECT_POSSIBLE_NEWWORLD	Aceastã clãdire este disponibilã doar pe continentul Yohara.
GUILD_OFFER_EXP	Investeºte Experienşã
GUILD_RED_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Recompense Rang:\nLocul 1: titlul Învingãtorul Flãcãrilor ºi Magma Dragon (5 Zile)\nLocul 2: Magma Dragon (3 Zile)\nLocul 3: Magma Dragon (1 Zi)
GUILD_SELECT_ONE	Alege un membru al breslei.
GUILD_SHORT_EXP	Nu ai destule puncte de experienşã.
GUILD_SITE_AUCTION_END_TIME	Licitaşie Teritoriu: %02d/%02d (lunã/zi) la %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Licitaşie de teritoriu: N/A
GUILD_SITE_AUCTION_INFO	Teritoriul oferit: %s / %d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Teritoriul oferit: N/A
GUILD_SITE_AUCTION_MAP_INFO	Data (lunã/zi): %02d/%02d; Ora: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Toate licitaşiile au fost trimise.
GUILD_SITE_AUCTION_STATE_REGIST	În %s, teritoriul de la %s,%s este licitat. Doar liderii breslei se poate înregistra la licitaşia teritorialã.
GUILD_SITE_AUCTION_STATE_RUN	Licitaşia teritoriului se terminã pe %02d/%02d (lunã/zi) la %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	Licitaşia teritoriului începe pe %02d/%02d (lunã/zi) la %02d:%02d pentru %s, teritoriu %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	Abandonare automatã a teritoriului: %s
GUILD_SITE_TAX_INFO	Teritoriul breslei va fi abandonat în %s. Toate obiectele din depozitul breslei vor fi ºterse.
GUILD_SPECIAL_BUILDING_BUFF_GET_BUFF_BUTTON_TOOLTIP	Primeºte Suport
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_SPECIAL_TICKET	Nu ai suficiente Tichete Clãdiri Speciale.
GUILD_SPECIAL_BUILDING_BUFF_NOT_ENOUGH_YANG_TO_REROLL	Nu ai suficient Yang.
GUILD_SPECIAL_BUILDING_BUFF_QUESTION_GET_BUFF	Doreºti sã primeºti suport? Dacã aceleaºi efecte sunt aplicate, se va lua în considerare doar valoarea mai mare.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_BUTTON_TOOLTIP	Poşi înlocui lista actualã de suport cu una nouã, contra cost.
GUILD_SPECIAL_BUILDING_BUFF_REROLL_RESULT	Lista de suport a fost înlocuitã.
GUILD_SPECIAL_BUILDING_SUMMON_REROLL_RESULT	Lista de invocare a fost înlocuitã.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_SPECIAL_TICKET	Nu ai suficiente Tichete Clãdiri Speciale.
GUILD_SUMMON_DUNGEON_NOT_ENOUGH_YANG_TO_REROLL	Nu ai suficient Yang.
GUILD_SUMMON_DUNGEON_QUESTION_SUMMON	Doreºti sã invoci monºtri?
GUILD_SUMMON_DUNGEON_REROLL_BUTTON_TOOLTIP	Poşi înlocui lista actualã de invocare cu una nouã, contra cost.
GUILD_SUMMON_DUNGEON_SUMMON_BUTTON_TOOLTIP	Invocã
GUILD_TILE_BASEINFO	Informaşii Teritoriu
GUILD_TILE_BOARD	Mesajele Breslei
GUILD_TILE_GRADE	Drepturi de Administrare
GUILD_TILE_GUILD_BATTLE	Bãtãlia Breslelor
GUILD_TILE_GUILD_CONTENTS_LIST	Bãtãlia Breslelor
GUILD_TILE_INFO	Informaşii breaslã
GUILD_TILE_MEMBER	Membru
GUILD_TILE_SKILL	Calificarea breslei
GUILD_USE_MASTER_ONLY	Doar liderul breslei are acest drept.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Zona de Lupta Breasla
GUILD_WAR2	Zona de Lupta Breasla
GUILD_WAR3	Zona de Lupta Breasla
GUILD_WAR4	Zona de Lupta Breasla
GUILD_WAR_GAINSCORE_FIFTY	50 puncte
GUILD_WAR_GAINSCORE_HUNDRED	100 puncte
GUILD_WAR_GAINSCORE_THIRTY	30 puncte
GUILD_WAR_GAMETIME_SIXTY	60 minute
GUILD_WAR_GAMETIME_TEN	10 minute
GUILD_WAR_GAMETIME_THIRTY	30 minute
GUILD_WAR_LIMIT_30MIN	Timp: 30 de minute
GUILD_WAR_REWARD_POTION	Recompensã: Câºtigãtorul primeºte licori
GUILD_WAR_SELECT_WAR	Selecteazã tipul
GUILD_WAR_TYPE_DEFENSE	Scut Luptã
GUILD_WAR_TYPE_DIE	Luptã în Arenã
GUILD_WAR_TYPE_FLAG	Captureazã Steag
GUILD_WAR_TYPE_NORMAL	Luptã de Câmp
GUILD_WAR_TYPE_TIGER	Anihilare
GUILD_WAR_TYPE_TIME	Timp Atac
GUILD_WAR_USE_BATTLE_MAP	Locaşie: Câmpul de Luptã al Breslei
GUILD_WAR_USE_NORMAL_MAP	Locaşie: Harta Normalã
GUILD_WAR_WIN_CHECK_SCORE	Cel mai bun rezultat câºtigã rãzboiul.
GUILD_WAR_WIN_FIVE	5 runde
GUILD_WAR_WIN_ONE	1 rundã
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captureazã steagul inamicului
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	ºi adu-l în baza ta.
GUILD_WAR_WIN_THREE	3 runde
GUILD_WAR_WIN_WIPE_OUT_GUILD	Înfrânge toşi inamicii pentru a câºtiga.
GUILD_WHITE_DRAGONLAIR_WEEKLY_RANKING_REWARD_TOOLTIP	Recompense Rang:\nLocul 1: titlul Arbitru Arctic ºi Aripi Îngheşate Balathor (5 Zile)\nLocul 2: Aripi Îngheşate Balathor (3 Zile)\nLocul 3: Aripi Îngheşate Balathor (1 Zi)
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	Efectele sunt deja active.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	Poşi folosi asta doar în Cripta lui Balathor.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	Trebuie sã muşi Ou Dragon Fierbinte în cealaltã direcşie.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	Hwacha este gata sã fie folositã!
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	Concentreazã-te pe Ou Dragon Îngheşat înainte ca acesta sã disparã în %d secunde.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Ai alungat cu succes frigul îngheşat.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	Rãgetul lui Balathor zguduie cripta.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	Balathor a pierdut Ouãle Dragon. Acum se va enerva!
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Balathor are din nou Ouãle Dragon. Va avea grijã sã nu-ºi foloseascã toatã puterea.
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Nu ai reuºit sã finalizezi Cripta lui Balathor. Vei fi teleportat afarã în 5 minute.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	Vei fi teleportat afarã în 3 minute. Poşi vorbi cu Gardã Dragon Dolnarr pentru a pãrãsi temnişa imediat.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Nu mai poşi încãrca sãgeşi.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	Sigiliul lui Balathor a fost foarte slãbit, deoarece un Ou Dragon a fost distrus.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	Moartea unui erou a slãbit sigiliul lui Balathor.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	Sigiliul lui Balathor a fost slãbit deoarece cineva a fost îngheşat.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Distruge cristalele antice de gheaşã pentru a obşine Sãgeşi de Foc.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Distruge Oul Dragon Îngheşat repede!
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	În 10 secunde, va apãrea Oul Dragon al lui Balathor ºi poşi inişia un atac asupra lui.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	Balathor fuge ºi îºi lasã comoara în urmã.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	Va fi nevoie de mai multe daune pentru urmãtorul atac.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Unul dintre Ouãle Dragon Balathor invocã îngheşul! Concentreazã-şi atacurile pentru a-l opri.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Şi-ai anulat încercarea de a stãpâni Cripta lui Balathor. Vei fi teleportat în 1 minut.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	Hwacha este în prezent încãrcat cu %d Sãgeşi de Foc.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Timp rãmas: %d
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STAGE_REMAIN_TIME	Vei fi teleportat afarã în %d minute. Poşi vorbi cu Gardã Dragon Dolnarr pentru a pãrãsi temnişa imediat.
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STATGE	Poşi colecta recompensa din Comoara lui Balathor. Vei fi teleportat afarã în 5 minute.
GUILD_WHITE_DRAGON_LAIR_NOTICE_SPAWNEED_BROKEN_EGG	Ou Dragon Fierbinte a apãrut.
GUILD_WHITE_DRAGON_LAIR_NOT_ENOUGH_GUILD_SP	Nu ai suficient Puterea Zeului Dragon.
GUILD_WHITE_DRAGON_LAIR_PROTECTED_EGGS	Distruge ouãle pentru a provoca daune!
GUILD_WHITE_DRAGON_LAIR_PUT_EGGS_BACK_IN_ORIGINAL_PLACE	Ou Dragon Balathor reapare în locaşia sa inişialã.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON	Hwacha nu poate fi încãrcat înainte de a fi reparat.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON_SUCCESS	Hwacha este acum complet reparatã.
GUILD_WHITE_DRAGON_LAIR_RUN_AWAY_TO_BREATH	Balathor a vãzut un Ou Dragon distrus. Evitã-i respiraşia îngheşatã!
GUILD_WHITE_DRAGON_LAIR_UI_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_1	Rãmas
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_2	ªanse: %d
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_TOOLTIP	Dacã %d Ouã Dragon Fierbinşi sunt distruse, încercarea în temnişã este eºuatã.
GUILD_WHITE_DRAGON_LAIR_UI_FLYING_FLMAE_BREATH_TOOLTIP	Dacã sigiliul eºueazã 100%%, Balathor îºi va îndrepta privirea mortalã asupra ta. (Deficienşa actualã a sigiliului: %d%%)
GUILD_WHITE_DRAGON_LAIR_UI_HIDDEN_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_NAME_TOOLTIP	Hwacha
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_TOOLTIP	Odatã ce sunt încãrcate 8 sãgeşi, armura lui Balathor poate fi distrusã. Sãgeşile de Foc pot fi achizişionate din cristalele de gheaşã antice. Încãrcat în prezent: %d
GUILD_WITHDRAW	Retragere
GUILD_YOU_DO_NOT_JOIN	Nu aparşii nici unei bresle.
HACK_USER_MESSAGE	Aceastã funcşie nu este disponibilã deoarece a fost detectat software de hacking.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Foame
HORSE_HEALTH2	Înfometat
HORSE_HEALTH3	Plin
HORSE_LEVEL1	Cal normal
HORSE_LEVEL2	Cal de luptã
HORSE_LEVEL3	Cal militar
HORSE_LEVEL4	Cal de Rãzboi Puternic
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	Vrei sã arunci %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Vrei sã arunci %s %d?
ICECREAM_EVENT_EXCHANGE_SCOOP_SUCCESS	Ai transferat %d Cupe de Îngheşatã în noul meniu al evenimentului.
ICECREAM_EVENT_GET_SCOOP	Ai primit Cupe de Înghşatã.
ICECREAM_EVENT_SCOOP_MAX_COUNT	Nu mai poşi primi Cupe de Înghşatã.
INPUT_MATRIX_CARD_NUMBER	Introdu numãrul plãcii matrix
INPUT_MATRIX_CARD_TITLE	Placa matrix
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introducere cod de ºtergere din administrare cont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	ªterge caracterul
INVENTORY_DO_NOT_PACK_WARP_SCROLL	Pergamentul nu poate fi adãugat.
INVENTORY_REALLY_USE_ITEM	Doresti sa folosesti asta pe acest obiect?
INVENTORY_REALLY_USE_ITEM2	Eºti sigur ca doreºti sã foloseºti acest obiect?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Doresti sa pui insotitorul in Cutia de Transport?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Doresti sa deschizi Cutia de Transport?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Doresti sa hranesti cu %s pe %s?
IS_NOT_PET_CHANGE_ITEM	Acesta nu este obiect de Însoşitor Magic.
IS_NOT_PET_ITEM	Acesta nu este un însoşitor.
ITEM_CANNOT_REFINE	Acest obiect nu poate fi îmbunãtãşit.
ITEM_TOOLTIP_DESC_GEM_BAG_DEFAULT	Dupã utilizare, îl poşi umple cu pânã la 9,999 Gaya. | Dispar dupã 30 de zile.\nSacul Gaya se poate negocia.
ITEM_TOOLTIP_DESC_GEM_BAG_HAVE_GEM	Sac Gaya (%d Gaya, negociabil) \nDacã deschizi Sacul Gaya, vei primi %d Gaya.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD	Drept recompensã pentru cã ai susşinut echipa câºtigãtoare, primeºti o Geantã de Sport Gaya.\nNu se poate negocia.
ITEM_TOOLTIP_DESC_GEM_BAG_REWARD_HAVE_GEM	Geantã de Sport Gaya (%d Gaya, nu se poate negocia) \nDacã deschizi Geanta Sport, vei primi %d Gaya.
JOB_ASSASSIN	Ninja
JOB_ASSASSIN0	Niciuna
JOB_ASSASSIN1	Ninja Sabie
JOB_ASSASSIN2	Ninja Arc
JOB_SHAMAN	ªaman
JOB_SHAMAN0	Niciuna
JOB_SHAMAN1	ªaman Dragon
JOB_SHAMAN2	ªaman Vindecare
JOB_SURA	Sura
JOB_SURA0	Niciuna
JOB_SURA1	Sura Arme
JOB_SURA2	Sura Magie
JOB_WARRIOR	Rãzboinic
JOB_WARRIOR0	Niciuna
JOB_WARRIOR1	Rãzboinic Corp
JOB_WARRIOR2	Rãzboinic Mental
JOB_WOLFMAN	Lycan
JOB_WOLFMAN0	Lycan Fals
JOB_WOLFMAN1	Instinct
